"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,1.4497,-7.471786,1.093273,0.183062,4.783301,-6.671729,9.98648,1.549175,-6.465386,3.945645,-10.420247,-6.51239,2.339129,6.398461,-5.889274,7.315316,2.038776,-10.241955,10.466976,1.688746,1.441693,10.466976,-1.688746,-1.441693
1,2.3044904,-7.71755345,1.23724185,1.390353,5.32926245,-6.1579405,10.4755583,1.64296,-6.91359635,4.7560675,-10.6219782,-6.14703795,3.5107052,6.59252465,-5.4553214,7.7874328,2.1426902,-10.8659868,10.52505765,1.7136155,1.42125265,10.52505765,-1.7136155,-1.42125265
2,3.2999143,-8.0078861,1.389664,2.7654401,5.9785544,-5.5999514,11.02407,1.7407999,-7.3802535,5.7440915,-10.88105,-5.7249778,4.9181234,6.8653619,-4.9916208,8.3531133,2.2516206,-11.517307,10.6116151,1.7479878,1.4076533,10.6116151,-1.7479878,-1.4076533
3,4.44204695,-8.34369815,1.550552,4.3085142,6.7364892,-4.99492125,11.63013395,1.8419288,-7.8615506,6.92240735,-11.20587505,-5.24594805,6.57015815,7.23317995,-4.4976705,9.01437355,2.36380115,-12.184878,10.73196405,1.79496265,1.4025021,10.73196405,-1.79496265,-1.4025021
4,5.734462,-8.7255048,1.7202922,6.016933,7.6061326,-4.3393708,12.2907276,1.9455526,-8.3535328,8.2982646,-11.6024088,-4.7106386,8.4664272,7.7099918,-3.9690564,9.769461,2.4776828,-12.8591096,10.8910998,1.8572566,1.4070774,10.8910998,-1.8572566,-1.4070774
5,7.17810975,-9.1536505,1.89969525,7.885832,8.5877005,-3.62967525,13.001914,2.05072475,-8.85157775,9.872718,-12.07323175,-4.120482,10.597003,8.306106,-3.39765725,10.6126085,2.59198525,-13.532158,11.09329575,1.9367415,1.422221,11.09329575,-1.9367415,-1.422221
6,8.7712194,-9.628832,2.0899529,9.9086827,9.6789164,-2.8624487,13.7590446,2.1563391,-9.3503323,11.6404473,-12.6167657,-3.4774105,12.9429487,9.026711,-2.7723276,11.534175,2.7057796,-14.1984075,11.3417482,2.0340153,1.4483536,11.3417482,-2.0340153,-1.4483536
7,10.5091588,-10.15213025,2.2922738,12.0778972,10.87451835,-2.03458795,14.55696165,2.26105685,-9.84341705,13.5900586,-13.2271402,-2.7836745,15.4777796,9.87128355,-2.080448,12.5210767,2.8184257,-14.8540454,11.6381899,2.1481472,1.4856114,11.6381899,-2.1481472,-1.4856114
8,12.3843946,-10.7249742,2.5079318,14.3851088,12.1663752,-1.1432456,15.3900818,2.3634158,-10.323947,15.7050848,-13.8946082,-2.0418408,18.1698686,10.8336054,-1.3097016,13.5576982,2.9295262,-15.496756,11.982684,2.2766858,1.5339458,11.982684,-2.2766858,-1.5339458
9,14.3864755,-11.3487366,2.73806655,16.82146665,13.5434994,-0.1854285,16.2525147,2.4619428,-10.7850731,17.9655462,-14.60665545,-1.25485175,20.98573845,11.9025666,-0.45028805,14.6271729,3.03871565,-16.1244926,12.37344485,2.4160123,1.59325875,12.37344485,-2.4160123,-1.59325875
