"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,11.102082,-10.682692,2.353512,0.081551,7.49504,-10.286716,5.874431,1.241995,-4.99193,15.575965,-10.045781,0.548786,2.21828,6.693747,-5.188092,5.802183,0.48141,-0.672398,14.659731,2.460145,5.269178,14.659731,-2.460145,-5.269178
1,13.3416585,-11.49403375,2.68363875,1.7526796,8.68743215,-9.75342245,6.274876,1.4038065,-5.76906255,18.0089001,-10.1718043,1.6673433,3.78046495,7.2500291,-5.35314885,6.07293915,0.5099417,-0.8497363,15.37330035,2.5336889,5.6806905,15.37330035,-2.5336889,-5.6806905
2,15.8367672,-12.2386226,3.09981,3.6114993,10.0606641,-9.1232574,6.7213469,1.5774728,-6.6007098,20.9248893,-10.5728567,3.1194421,5.9395675,8.1313479,-5.5856549,6.5716638,0.5514414,-1.1076472,16.1604057,2.7607378,6.0178601,16.1604057,-2.7607378,-6.0178601
3,18.6359243,-12.8698734,3.6869977,5.6363612,11.62087325,-8.3770802,7.19531815,1.76137355,-7.4782604,24.24516265,-11.30050345,4.68192985,8.55595855,9.3616434,-5.69352895,7.23348995,0.60870675,-1.46345615,17.0456766,3.1494536,6.15016165,17.0456766,-3.1494536,-6.15016165
4,21.6908172,-13.5201364,4.4695164,7.8062588,13.3784602,-7.478141,7.6863,1.9445956,-8.3489988,27.7251398,-12.2125932,5.9967774,11.402317,10.8573382,-5.4731676,7.9603736,0.6752802,-1.8769572,17.9936766,3.5351226,6.0022986,17.9936766,-3.5351226,-6.0022986
5,24.9203465,-14.3131095,5.37245925,10.071424,15.30310275,-6.438329,8.17989975,2.1218295,-9.18752525,31.1882795,-13.15861675,7.11929575,14.20092925,12.56922575,-4.937432,8.62808475,0.75744575,-2.38702575,18.9838705,3.79250625,5.68904325,18.9838705,-3.79250625,-5.68904325
6,28.2760567,-15.2540899,6.3011386,12.3508956,17.3590766,-5.3216978,8.6585834,2.291888,-9.9883186,34.6088178,-14.1059991,8.3447175,16.7071939,14.5201612,-4.2629223,9.1406496,0.8616904,-3.0335989,20.0440945,3.9604262,5.3659774,20.0440945,-3.9604262,-5.3659774
7,31.6554286,-16.40686035,7.14226255,14.5765782,19.53451085,-4.1825394,9.11318785,2.4435877,-10.6992824,37.9523842,-14.95155135,9.83329,18.7867823,16.67934585,-3.6424893,9.4798342,0.9798437,-3.7654795,21.15638285,4.06183025,5.1622604,21.15638285,-4.06183025,-5.1622604
8,34.93055,-17.7893324,7.8235358,16.7024154,21.7712654,-3.0699036,9.5404808,2.5635552,-11.2591382,41.1762614,-15.625242,11.5718014,20.4432938,18.9937804,-3.2116168,9.7092434,1.0927528,-4.4637188,22.2664556,4.106105,5.1461518,22.2664556,-4.106105,-5.1461518
9,37.9873636,-19.34792535,8.37402745,18.71326875,23.9786335,-2.01090675,9.9423083,2.6393283,-11.61161825,44.182079,-16.1280813,13.2468641,21.82336385,21.33387005,-2.96848565,9.95262565,1.1699653,-4.9404475,23.2927941,4.06583575,5.26164015,23.2927941,-4.06583575,-5.26164015
