"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,7.044795,-11.361643,-1.00902,0.286508,9.28009,-13.372163,8.106399,0.182252,0.130959,10.228983,-9.973568,-3.454437,2.000062,10.176923,-12.800134,5.903646,1.963976,-9.791207,12.529629,1.522685,4.222385,12.529629,-1.522685,-4.222385
1,9.35328841,-12.37945157,-0.82259061,2.48301806,11.25592456,-12.07053691,8.82678539,0.41452915,-0.99462142,12.58829139,-10.92016672,-2.80557071,4.15819857,11.76989695,-12.38821318,6.70356096,2.06976199,-10.4283049,13.2101052,1.6280736,4.30023243,13.2101052,-1.6280736,-4.30023243
2,11.83436854,-13.47106818,-0.62497252,4.83879798,13.43680468,-10.69483504,9.58534482,0.64282088,-2.1001317,15.18684132,-12.05176086,-2.06896998,6.53814256,13.67568714,-11.85692946,7.60006898,2.18101646,-11.09548594,13.96027664,1.78458906,4.40117096,13.96027664,-1.78458906,-4.40117096
3,14.44112146,-14.62731574,-0.42176826,7.3238094,15.77865238,-9.26749015,10.37161936,0.85939753,-3.1474521,17.95947763,-13.33144243,-1.25484767,9.05803444,15.85980993,-11.18670838,8.5585438,2.29538424,-11.77813842,14.76633862,1.98734448,4.52676523,14.76633862,-1.98734448,-4.52676523
4,17.1162842,-15.84310732,-0.22002876,9.90739508,18.23192676,-7.80413512,11.17588688,1.05812544,-4.10658648,20.83006868,-14.71010392,-0.3876814,11.63951088,18.26862152,-10.3668834,9.54283252,2.40930816,-12.45473928,15.6079006,2.22359172,4.67778476,15.6079006,-2.22359172,-4.67778476
5,19.7955334,-17.1149492,-0.0276756499999999,12.5567326,20.74615955,-6.31402505,11.98809595,1.2350339,-4.9584526,23.72250755,-16.1362475,0.49806375,14.2217509,20.83664965,-9.398983,10.52033645,2.5179348,-13.09656895,16.46048045,2.4767567,4.85629285,16.46048045,-2.4767567,-4.85629285
6,22.41478678,-18.43923692,0.14794692,15.23942718,23.27652114,-4.80179232,12.79870562,1.38847336,-5.695513,26.57104258,-17.5641736,1.36564444,16.76973638,23.49432142,-8.29585112,11.4656386,2.615629,-13.67092608,17.29912264,2.73119412,5.06632084,17.29912264,-2.73119412,-5.06632084
7,24.91977435,-19.81091719,0.30216929,17.92901678,25.7886292,-3.26839701,13.60073794,1.51887823,-6.32041605,29.32866041,-18.95871227,2.18550002,19.27539136,26.17466966,-7.0780662,12.36234035,2.69698617,-14.14708582,18.10265071,2.97622804,5.31281152,18.10265071,-2.97622804,-5.31281152
8,27.27436248,-21.22302912,0.4353726,20.60996508,28.26035044,-1.71141536,14.39138016,1.62836088,-6.84387936,31.97238976,-20.29581904,2.94416364,21.75280236,28.81893544,-5.770438,13.20339512,2.7579142,-14.50236096,18.85727404,3.20783528,5.59983136,18.85727404,-3.20783528,-5.59983136
9,29.46571155,-22.66645556,0.55508329,23.28025509,30.67920229,-0.124250669999999,15.17243991,1.72040084,-7.28304266,34.50437478,-21.55969143,3.65051275,24.22831866,31.38038537,-4.39979514,13.98999692,2.79664185,-14.72758938,19.55873956,3.42791676,5.92880535,19.55873956,-3.42791676,-5.92880535
10,31.5051669,-24.1307055,0.6770619,25.9512132,33.0373085,1.5045155,15.9495673,1.7994346,-7.6594481,36.9477898,-22.7378672,4.3365527,26.7282386,33.8266729,-2.9936536,14.7294441,2.8144172,-14.8308079,20.2121987,3.6412662,6.2976467,20.2121987,-3.6412662,-6.2976467
11,33.42537748,-25.60546802,0.82512104,28.64489756,35.32613983,3.19036492,16.73053609,1.87035522,-7.99663788,39.33844565,-23.81665418,5.05130913,29.26770622,36.14074791,-1.57849394,15.43245674,2.81568306,-14.83815423,20.83007785,3.85163285,6.70074306,20.83007785,-3.85163285,-6.70074306
12,35.2744118,-27.08221032,1.02976332,31.389115,37.53409216,4.9498588,17.52238992,1.93755892,-8.31563116,41.7143216,-24.78041444,5.84770628,31.84595592,38.32081384,-0.175956919999999,16.1106198,2.80742688,-14.79022888,21.42872308,4.0588268,7.1289758,21.42872308,-4.0588268,-7.1289758
13,37.10772025,-28.55420951,1.32467598,34.21186221,39.64685886,6.79715616,18.32852069,2.00401979,-8.63057844,44.10560233,-25.61566392,6.76732788,34.44919241,40.37890065,1.20231528,16.77439478,2.79784538,-14.73458128,22.02458001,4.25830447,7.56936909,22.02458001,-4.25830447,-7.56936909
14,38.97945542,-30.01474868,1.74116076,37.13723288,41.64880622,8.7414128,19.14659812,2.07039636,-8.94458844,46.5275278,-26.31817752,7.82787712,37.0598163,42.3372208,2.56009538,17.43198524,2.79462314,-14.71586206,22.63070832,4.44269028,8.00458282,22.63070832,-4.44269028,-8.00458282
15,40.9344283,-31.45489455,2.3020574,40.1834667,43.52431825,10.78567865,19.9679697,2.1345632,-9.2476246,48.97779,-26.89889105,9.0173603,39.6686971,44.22168755,3.919892,18.0895864,2.80338295,-14.7667456,23.2541272,4.60381175,8.4130609,23.2541272,-4.60381175,-8.4130609
16,43.00086924,-32.86346828,3.01655036,43.3616012,45.25965728,12.92737512,20.77828684,2.19186912,-9.51780624,51.438892,-27.38396628,10.29755056,42.2850964,46.0532698,5.3220508,18.75235704,2.82671152,-14.90213812,23.89425328,4.73406452,8.77152252,23.89425328,-4.73406452,-8.77152252
