"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,3.437435,-9.342865,1.446658,0.03919,5.763479,-9.161726,7.777162,0.856413,-3.133035,7.759422,-10.123778,-1.861759,3.586267,6.411355,-4.551178,7.887989,0.498443,-0.778265,9.208586,1.661131,3.56734,9.208586,-1.661131,-3.56734
1,5.87406459,-10.06117854,1.78709386,2.17591879,7.02071249,-7.90292868,8.28766871,1.13924357,-4.49744432,10.61263112,-10.29699043,-0.48095546,6.12581129,6.79538166,-3.77886341,8.44183522,0.69438263,-1.99557248,9.76884458,1.80639124,3.89905623,9.76884458,-1.80639124,-3.89905623
2,8.8281063,-10.82393572,2.34269112,4.7799694,8.57078204,-6.4774118,8.91790572,1.43232354,-5.90580848,14.0100203,-10.7033295,0.8865304,9.32646878,7.49566788,-2.93223432,9.2361246,0.89605224,-3.24656036,10.4277276,2.03583622,4.06235702,10.4277276,-2.03583622,-4.06235702
3,12.42829458,-11.5051465,3.19393027,7.79065183,10.41395451,-4.97787483,9.63603759,1.73111704,-7.33410796,18.02671128,-11.49978465,2.44247001,13.0035918,8.6512632,-2.0445254,10.19283114,1.11576062,-4.60583524,11.32318931,2.44094402,4.03616987,11.32318931,-2.44094402,-4.03616987
4,16.75869276,-12.16890296,4.43424676,11.04437636,12.61543772,-3.4947614,10.38204456,2.04370536,-8.8183874,22.68849724,-12.61838932,4.44122556,16.817777,10.33616472,-1.13736668,11.170863,1.37381124,-6.19553156,12.61634644,2.98969912,3.84213464,12.61634644,-2.98969912,-3.84213464
5,21.5455241,-13.1162303,5.91983385,14.36615945,15.1377458,-1.97882075,11.1086187,2.3533563,-10.27678275,27.640458,-13.6716502,6.5921478,20.44981175,12.41947845,-0.0829580499999999,12.0600612,1.65199985,-7.8984014,14.1967064,3.3684475,3.57118895,14.1967064,-3.3684475,-3.57118895
6,26.28289384,-14.35213626,7.19583074,17.64328744,17.73432998,-0.313923419999999,11.78965856,2.62585628,-11.54901066,32.42850712,-14.48195124,8.64682886,23.70776612,14.6468818,1.17814362,12.7977345,1.91923398,-9.52099124,15.77355096,3.52443962,3.42397832,15.77355096,-3.52443962,-3.42397832
7,30.58608666,-15.61517661,7.97501294,20.81170512,20.1319418,1.50721145,12.40740687,2.84021133,-12.54160438,36.78079703,-15.14777498,10.50539024,26.55172936,16.77480247,2.57096529,13.36972239,2.14803076,-10.89797821,17.12753882,3.66934854,3.4528965,17.12753882,-3.66934854,-3.4528965
8,34.44720636,-16.77080244,8.48824036,23.777117,22.26256412,3.29616396,12.94212552,3.01030756,-13.32376292,40.73228796,-15.7509488,12.16752412,29.04199176,18.7344534,3.92475828,13.79513476,2.323889,-11.94775452,18.29021604,3.87515032,3.56728996,18.29021604,-3.87515032,-3.56728996
9,38.10215841,-17.91517384,9.12720962,26.44568652,24.2950046,4.82660403,13.38483032,3.16091501,-14.01201614,44.53573782,-16.2494886,13.86364524,31.24554586,20.6747684,5.02612268,14.10122087,2.45108442,-12.7019672,19.45540865,4.07082287,3.7414269,19.45540865,-4.07082287,-3.7414269
10,41.692736,-19.0535892,10.0493737,28.8464518,26.3560919,6.0572188,13.7574853,3.2901481,-14.5992637,48.2900426,-16.7378985,15.5153777,33.3008339,22.6739449,5.8557729,14.3427981,2.5192242,-13.1041737,20.700769,4.2311119,3.873037,20.700769,-4.2311119,-3.873037
11,45.08265137,-20.28946834,11.02413799,31.14707539,28.41471338,7.14726711,14.10399413,3.37018349,-14.96135437,51.82297083,-17.16508137,16.93496318,35.3356651,24.66058548,6.49909375,14.57445401,2.51923322,-13.10422342,21.87768932,4.28527965,3.99709247,21.87768932,-4.28527965,-3.99709247
12,48.11527744,-21.67160568,11.80190048,33.5075776,30.37727232,8.26154324,14.45938176,3.38653156,-15.03516504,54.97156,-17.48881612,18.09728604,37.39081296,26.58562024,7.0241386,14.83276948,2.46121792,-12.76186764,22.83090816,4.23153228,4.18711384,22.83090816,-4.23153228,-4.18711384
13,50.86841314,-22.99359617,12.5672766,35.94856554,32.22412456,9.4215573,14.83329112,3.35852158,-14.90867225,57.68776281,-17.92909898,18.84103338,39.48143188,28.39852241,7.52516051,15.15115262,2.35800976,-12.15050656,23.5498619,4.1097095,4.25676872,23.5498619,-4.1097095,-4.25676872
14,53.49024782,-24.12573014,13.47335602,38.40070658,33.99726376,10.5706673,15.22325206,3.31742262,-14.72279646,60.1272117,-18.59040762,19.39179174,41.5311988,30.19893214,8.0002762,15.5416226,2.24018386,-11.4490721,24.13431172,3.99312784,4.16751608,24.13431172,-3.99312784,-4.16751608
15,56.0004393,-25.19250645,14.3775719,40.84732265,35.6911524,11.71596685,15.6342236,3.2741132,-14.5265716,62.4479828,-19.2796963,20.1411287,43.4195919,32.0934999,8.39260725,16.00182635,2.14054045,-10.85310235,24.64884645,3.9318623,4.12341165,24.64884645,-3.9318623,-4.12341165
16,58.3726038,-26.15165612,15.1690798,43.25828972,37.24825876,12.84457044,16.0675788,3.23261536,-14.33821972,64.73569816,-19.98845088,21.19836132,45.1414766,34.08436776,8.73474148,16.53160388,2.06579252,-10.40444224,25.11287528,4.00169676,4.16042676,25.11287528,-4.00169676,-4.16042676
17,60.62554578,-27.03738898,16.01188047,45.62175078,38.68974303,13.94713273,16.51945885,3.19018496,-14.14529941,66.86452548,-20.65861899,22.25015054,46.745039,35.99194302,9.07588686,17.11511277,2.00685298,-10.0497411,25.48734401,4.06858719,4.20708837,25.48734401,-4.06858719,-4.20708837
18,62.79589494,-27.9305007,17.09142088,47.96709704,40.03588516,15.04305942,16.98265554,3.13477556,-13.89286186,68.63772038,-21.2216274,22.8661947,48.30205604,37.5919335,9.46293196,17.70795432,1.9465129,-9.68579328,25.72363408,3.9300765,4.20142452,25.72363408,-3.9300765,-4.20142452
