"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,5.380749,-8.561575,4.502118,0.065658,4.982262,-7.229386,7.942201,1.376584,-5.638467,7.743642,-10.475534,-1.205421,2.150824,6.5716,-6.342582,8.562463,0.817233,-2.757938,11.382111,1.661852,1.200698,11.382111,-1.661852,-1.200698
1,7.69279584,-8.95463636,4.80919052,2.04493108,5.97625468,-6.4440116,8.41699648,1.53138088,-6.38025236,10.00648772,-10.82755624,-0.43879952,4.04417908,7.04269784,-5.93236992,8.95141508,0.92834032,-3.44658968,12.00150508,1.7555104,1.21540804,12.00150508,-1.7555104,-1.21540804
2,10.426892,-9.43683112,5.19075076,4.37825888,7.21725456,-5.5870518,8.98133652,1.70413228,-7.20547576,12.74481428,-11.30931584,0.49309544,6.3393096,7.75135672,-5.48023084,9.441382,1.04416056,-4.16337224,12.763434,1.87979132,1.27343372,12.763434,-1.87979132,-1.27343372
3,13.53515368,-9.9934866,5.63047436,6.96171036,8.6742202,-4.65634244,9.58667692,1.8947544,-8.1125062,15.9371062,-11.92306524,1.62210212,8.93877184,8.73192816,-4.92446312,9.98768468,1.17198452,-4.95290168,13.68434368,2.04922912,1.39728052,13.68434368,-2.04922912,-1.39728052
4,16.96463524,-10.64513732,6.14095484,9.68909588,10.3175258,-3.66597308,10.1844386,2.10249716,-9.096247,19.525551,-12.6176432,2.99316232,11.6996208,9.99004924,-4.21191348,10.5302422,1.3244284,-5.89198676,14.76899456,2.25357396,1.59620624,14.76899456,-2.25357396,-1.59620624
5,20.6576798,-11.4327002,6.752838,12.467031,12.1189998,-2.635366,10.7364774,2.3242378,-10.1401958,23.4216532,-13.309416,4.6293932,14.4698638,11.5117748,-3.3257282,11.0132904,1.5117154,-7.0412666,16.0050168,2.460395,1.8639828,16.0050168,-2.460395,-1.8639828
6,24.53105564,-12.372582,7.47211816,15.21640728,14.03484704,-1.56848272,11.21989004,2.55249776,-11.20761784,27.50910052,-13.9312756,6.48995532,17.13007364,13.26325192,-2.29217496,11.40481964,1.73262556,-8.38942716,17.35410048,2.6430254,2.18023844,17.35410048,-2.6430254,-2.18023844
7,28.47448436,-13.43201572,8.25958212,17.87935636,15.99875908,-0.453687,11.629314,2.77465812,-12.23885356,31.65505456,-14.46455688,8.46144476,19.6171218,15.18281168,-1.16888452,11.70156428,1.97215096,-9.84052152,18.75583108,2.79906196,2.50920292,18.75583108,-2.79906196,-2.50920292
8,32.37339,-14.54468928,9.0574414,20.42388796,17.93732836,0.72095836,11.9742192,2.97657872,-13.16906656,35.72940884,-14.9347978,10.3849876,21.92393872,17.18444472,-0.0227121200000001,11.92033296,2.20679632,-11.249651,20.14394928,2.939005,2.8009834,20.14394928,-2.939005,-2.8009834
9,36.13208252,-15.64657384,9.82746472,22.83636644,19.79577852,1.95316484,12.2706006,3.14881868,-13.95689204,39.62643316,-15.38344768,12.1229762,24.07870168,19.18350832,1.08657752,12.08508708,2.41442544,-12.4850476,21.4616854,3.0646236,3.0112216,21.4616854,-3.0646236,-3.0112216
10,39.6842808,-16.6983944,10.5592788,25.115472,21.5511072,3.2251442,12.5337092,3.2893238,-14.5955252,43.277588,-15.8421412,13.6100754,26.1203862,21.1200514,2.1167302,12.2211888,2.5818772,-13.4728064,22.6675622,3.1659198,3.1213688,22.6675622,-3.1659198,-3.1213688
11,42.99658368,-17.68583696,11.25881168,27.27414216,23.20205812,4.50806272,12.77517408,3.40067112,-15.09895588,46.65131312,-16.31996696,14.8545634,28.0801078,22.96138536,3.04949668,12.35642056,2.7072628,-14.20708428,23.73625968,3.23107316,3.14093592,23.73625968,-3.23107316,-3.14093592
12,46.06365392,-18.61927712,11.9407464,29.33807108,24.75216276,5.76816432,13.003658,3.48726344,-15.48879172,49.74103956,-16.79229572,15.90751176,29.97118052,24.69170196,3.88620136,12.52154404,2.7974788,-14.73244952,24.65536848,3.24616896,3.10385236,24.65536848,-3.24616896,-3.10385236
13,48.90301532,-19.51545056,12.6262572,31.33272556,26.20374216,6.97371704,13.22723944,3.5548662,-15.79209304,52.5625062,-17.22226452,16.83500712,31.7909092,26.31018972,4.63532416,12.7445748,2.86268656,-15.11059104,25.42726992,3.20507324,3.05270084,25.42726992,-3.20507324,-3.05270084
14,51.54672796,-20.36132604,13.33252172,33.2702282,27.56272932,8.10288628,13.4537206,3.61002628,-16.0388844,55.15619896,-17.61089284,17.70115652,33.53376956,27.8316502,5.3073786,13.03948096,2.91085272,-15.38903756,26.07075668,3.13133036,3.0051146,26.07075668,-3.13133036,-3.0051146
15,54.0248572,-21.103897,14.0551184,35.1495078,28.8406062,9.1521276,13.688448,3.6582214,-16.2540074,57.577374,-18.0166376,18.556455,35.2071342,29.2775912,5.9190482,13.3963344,2.944778,-15.5847048,26.6126102,3.0789282,2.9354302,26.6126102,-3.0789282,-2.9354302
16,56.35646608,-21.6979502,14.77435672,36.9669264,30.05574336,10.13544088,13.93329848,3.7027808,-16.45246964,59.87718564,-18.50360444,19.43740712,36.8333904,30.66753484,6.49164792,13.78173876,2.96342832,-15.69211336,27.07608416,3.09389332,2.80503928,27.07608416,-3.09389332,-2.80503928
17,58.5535846,-22.15832456,15.48808872,38.72955872,31.23014096,11.07140544,14.18748808,3.74358244,-16.63383408,62.07722068,-19.0749602,20.34600504,38.44369936,32.00630648,7.04826772,14.15344932,2.9647278,-15.6995894,27.4706704,3.16902576,2.60404312,27.4706704,-3.16902576,-2.60404312
18,60.63157424,-22.56032564,16.23389828,40.46244092,32.3813176,11.97464196,14.44883324,3.77679748,-16.78121584,64.15720448,-19.66395788,21.22158328,40.07373164,33.27377964,7.6163944,14.47694592,2.94712996,-15.5982576,27.79028812,3.23637376,2.36184428,27.79028812,-3.23637376,-2.36184428
19,62.61544724,-23.00169944,17.07021572,42.20310416,33.52102932,12.85752892,14.71416452,3.79705196,-16.87097292,66.07959056,-20.1770692,21.97472288,41.75305984,34.44365156,8.22014992,14.73455612,2.91124236,-15.39128588,28.02502788,3.20912312,2.13449116,28.02502788,-3.20912312,-2.13449116
20,64.535094,-23.540454,18.0313826,43.9856548,34.6585796,13.7314926,14.9800856,3.8003544,-16.885601,67.8346988,-20.5683776,22.566843,43.4930092,35.52416,8.8680152,14.9269894,2.860786,-15.0995904,28.1770946,3.047626,1.9675154,28.1770946,-3.047626,-1.9675154
21,66.41123836,-24.1644668,19.102435,45.83168496,35.80201168,14.61064108,15.24651252,3.78514192,-16.81820504,69.44831192,-20.87755304,23.03025456,45.28663756,36.56479468,9.5564924,15.07140828,2.80148588,-14.7557262,28.26009388,2.78094568,1.86129704,28.26009388,-2.78094568,-1.86129704
22,68.24991244,-24.82641472,20.25445336,47.75552536,36.95897544,15.52061816,15.52231916,3.7515942,-16.66940416,70.92975344,-21.18911396,23.38114132,47.11995104,37.60347648,10.2831794,15.19961356,2.73817676,-14.3873968,28.27915428,2.45081388,1.76956008,28.27915428,-2.45081388,-1.76956008
23,70.0514876,-25.48445064,21.47969848,49.77126904,38.13263688,16.49926516,15.82864972,3.70077212,-16.44352976,72.24658544,-21.57793128,23.56884752,48.98228856,38.62997804,11.0493338,15.35655276,2.67295816,-14.00666528,28.22403544,2.06484172,1.62678528,28.22403544,-2.06484172,-1.62678528
24,71.81390796,-26.13183004,22.75428704,51.88576344,39.3168564,17.57837596,16.19620708,3.63537696,-16.15209688,73.39315424,-22.06465076,23.59770632,50.865208,39.63822472,11.84459668,15.5979442,2.6073178,-13.62217556,28.0926958,1.63034008,1.414494,28.0926958,-1.63034008,-1.414494
25,73.524902,-26.81937,24.012407,54.093323,40.496075,18.766348,16.659678,3.559811,-15.81424,74.435623,-22.583727,23.609871,52.769024,40.669033,12.646309,15.989271,2.543531,-13.247324,27.901142,1.186205,1.20992,27.901142,-1.186205,-1.20992
26,75.1601574,-27.62852364,25.18512296,56.39295572,41.6438818,20.0496162,17.25325304,3.47639928,-15.4399612,75.4624916,-23.01211324,23.78963064,54.7203878,41.76937656,13.43884368,16.6011302,2.48224072,-12.88603412,27.66085284,0.78165676,1.14255904,27.66085284,-0.78165676,-1.14255904
27,76.69156128,-28.60794696,26.23614716,58.816194,42.71762244,21.40673676,18.00147284,3.37945024,-15.00319664,76.51744064,-23.24791716,24.22989488,56.7791028,42.93412944,14.2273122,17.48500008,2.41972828,-12.51645248,27.3577062,0.44801992,1.2993972,27.3577062,-0.44801992,-1.2993972
28,78.09677124,-29.744834,27.15490936,61.43223672,43.6565764,22.82184932,18.90393212,3.25467508,-14.43838044,77.58510588,-23.26506704,24.89404188,59.02878612,44.09879772,15.04047464,18.63403952,2.34772304,-12.08941552,26.956961,0.19377864,1.68084988,26.956961,-0.19377864,-1.68084988
29,79.36587992,-30.97103284,27.94637512,64.305688,44.400695,24.28436484,19.91712608,3.0878294,-13.67853408,78.62045828,-23.12800872,25.66584384,61.54984508,45.17915712,15.93058948,19.95131368,2.25721928,-11.5507046,26.4266218,0.01438528,2.211592,26.4266218,-0.01438528,-2.211592
30,80.496147,-32.141364,28.6204624,67.422345,44.9236374,25.7710844,20.949988,2.8778386,-12.7150492,79.603174,-23.032276,26.4157676,64.4159608,46.1057666,16.9873144,21.2631404,2.1397842,-10.848567,25.765314,-0.0801358,2.7416304,25.765314,0.0801358,-2.7416304
