"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,3.07242,-8.17193,3.834656,0.001816,5.852446,-8.410213,9.292236,0.77679,-2.748197,5.297416,-10.877237,-3.077027,2.04009,7.601473,-8.71969,6.51825,2.0708,-10.43454,9.827476,1.827095,2.070657,9.827476,-1.827095,-2.070657
1,4.99277113,-8.75519364,3.79469852,1.73997404,7.20187822,-7.61937858,9.79697376,0.93267372,-3.50135033,7.55364254,-11.59894077,-2.55587114,4.29714479,8.66692896,-8.15180513,7.23447135,2.14009206,-10.85041617,10.32733422,1.99356787,2.30357903,10.32733422,-1.99356787,-2.30357903
2,7.22264258,-9.50950308,3.75459908,3.78066172,8.88233024,-6.78645398,10.39543626,1.08373286,-4.23001734,10.17233394,-12.48112202,-1.92397806,6.92218698,10.04699732,-7.54144982,8.08493954,2.2044269,-11.23549234,10.93120304,2.19153792,2.5651747,10.93120304,-2.19153792,-2.5651747
3,9.73084656,-10.4350125,3.72363003,6.09631811,10.86123316,-5.91022162,11.07600675,1.22533049,-4.91178382,13.0793018,-13.48989877,-1.17828617,9.78721336,11.7242003,-6.85322432,9.01321192,2.26702508,-11.60917817,11.63640259,2.41358667,2.85371966,11.63640259,-2.41358667,-2.85371966
4,12.46914848,-11.51983172,3.71110376,8.64262912,13.0757324,-4.97816856,11.82090152,1.35531652,-5.53639692,16.18630376,-14.57874408,-0.32396076,12.74894316,13.65869656,-6.06025808,9.95482648,2.33137184,-11.99224568,12.43624896,2.64846544,3.16627332,12.43624896,-2.64846544,-3.16627332
5,15.37610435,-12.74098185,3.7253888,11.3607873,15.4428717,-3.9694432,12.60664045,1.47452125,-6.1080244,19.40943585,-15.7006637,0.6246157,15.68258885,15.7989755,-5.15989455,10.85201295,2.3986054,-12.3913286,13.32006015,2.88451455,3.4985599,13.32006015,-2.88451455,-3.4985599
6,18.38502458,-14.06926778,3.77247418,14.18639054,17.87659978,-2.86401788,13.40705298,1.58532842,-6.63826312,22.68174006,-16.81765314,1.64505064,18.50694858,18.09129666,-4.17570696,11.66584854,2.46637054,-12.79231298,14.27307786,3.1125779,3.84463142,14.27307786,-3.1125779,-3.84463142
7,21.43433602,-15.47609524,3.8549378,17.06346858,20.3067352,-1.653569,14.19839315,1.68904295,-7.13351364,25.95637448,-17.90545594,2.71053455,21.19298712,20.48518485,-3.14540875,12.38212423,2.5298554,-13.16679895,15.27653593,3.32765477,4.19633632,15.27653593,-3.32765477,-4.19633632
8,24.47559524,-16.93990236,3.97244948,19.95696912,22.69013168,-0.343842999999999,14.96346688,1.78386832,-7.58536412,29.20231772,-18.95335244,3.79583132,23.75364268,22.93909088,-2.10244148,13.00812364,2.5840642,-13.48565908,16.30930864,3.52829172,4.54353516,16.30930864,-3.52829172,-4.54353516
9,27.47393852,-18.4469331,4.12314445,22.85491339,25.01034754,1.05005214,15.69247644,1.86498994,-7.97114604,32.39799262,-19.96207282,4.88244229,26.22879535,25.42300386,-1.06381614,13.56674378,2.62573875,-13.7302065,17.34910473,3.71533808,4.87474046,17.34910473,-3.71533808,-4.87474046
10,30.4048513,-19.9899333,4.3051658,25.7636082,27.270882,2.5132947,16.3812753,1.9262628,-8.2620492,35.5275881,-20.9398504,5.9624421,28.6713224,27.9191593,-0.0270449,14.0895541,2.6539794,-13.8956315,18.3743076,3.8903065,5.1784472,18.3743076,-3.8903065,-5.1784472
11,33.25069525,-21.56533195,4.51773833,28.69980139,29.48616403,4.03969634,17.02898019,1.96253771,-8.43406186,38.58035754,-21.89791683,7.0391232,31.13705863,30.41894289,1.02519684,14.61038927,2.66974515,-13.98787644,19.36587248,4.05429921,5.4447193,19.36587248,-4.05429921,-5.4447193
12,35.9991848,-23.17075396,4.76190876,31.68417976,31.67286752,5.6351138,17.63593204,1.97111596,-8.47471804,41.550631,-22.84643868,8.12370348,33.67727444,32.91810824,2.11894292,15.15915188,2.67484688,-14.01770948,20.30916024,4.20757372,5.66663488,20.30916024,-4.20757372,-5.66663488
13,38.6434821,-24.80309605,5.04154591,34.73859882,33.84313968,7.31619611,18.2027869,1.95205875,-8.38438703,44.43719478,-23.79205849,9.22990717,36.33524249,35.41177733,3.2854232,15.75764294,2.67120798,-13.99643224,21.19465285,4.34970965,5.84086884,21.19465285,-4.34970965,-5.84086884
14,41.18355004,-26.4577757,5.3639581,37.88558228,36.00087422,9.1073998,18.73080742,1.90803282,-8.17554352,47.24246492,-24.7364883,10.36877134,39.14510358,37.89046742,4.55903172,16.41728652,2.66054916,-13.93407544,22.01782954,4.47956546,5.96818056,22.01782954,-4.47956546,-5.96818056
15,43.626972,-28.1278899,5.74003375,41.14892375,38.13817405,11.03785885,19.2225208,1.8437822,-7.870361,49.9712825,-25.67648395,11.5454382,42.13304635,40.33817085,5.97643045,17.13889805,2.64433695,-13.8391762,22.7782255,4.59520505,6.05315345,22.7782255,-4.59520505,-6.05315345
16,45.99031728,-29.80289952,6.18385844,44.55151184,40.2337444,13.13545824,19.6826206,1.76547728,-7.49780416,52.62969156,-26.6055194,12.75622684,45.31622184,42.73222144,7.57395524,17.9129332,2.62399512,-13.71998196,23.47889724,4.69391752,6.1031588,23.47889724,-4.69391752,-6.1031588
17,48.29809728,-31.46878294,6.71320793,48.11368268,42.25416226,15.4218892,20.11807702,1.67958754,-7.0884085,55.22189166,-27.51554991,13.98713654,48.70411423,45.04325348,9.3861227,18.72229474,2.60107231,-13.58552537,24.12451441,4.77154522,6.12620135,24.12451441,-4.77154522,-6.12620135
18,50.58116652,-33.10861578,7.35015862,51.84986532,44.15775046,17.90686334,20.53822408,1.59191762,-6.66976152,57.7485152,-28.39762748,15.21428966,52.2991293,47.2343263,11.44156158,19.54605256,2.5773721,-13.44634566,24.71966848,4.82197928,6.12939106,24.71966848,-4.82197928,-6.12939106
19,52.8738968,-34.70316051,8.12076496,55.7633242,45.89998196,20.58252531,20.95438994,1.50703425,-6.26372086,60.20669523,-29.24186285,16.40733651,56.09526407,49.26132008,13.75525104,20.3636191,2.55481288,-13.3137109,25.26756974,4.83729444,6.11829816,25.26756974,-4.83729444,-6.11829816
20,55.2102206,-36.2310146,9.0535988,59.8422514,47.4381892,23.4214202,21.3790584,1.4280054,-5.885105,62.5904268,-30.037434,17.5338664,60.075459,51.0741592,16.320868,21.1584856,2.5352356,-13.198488,25.7686802,4.808492,6.096629,25.7686802,-4.808492,-6.096629
21,57.61761086,-37.67004047,10.17329691,64.05572359,48.74032218,26.3751094,21.82422639,1.35618214,-5.54055242,64.89252161,-30.77527575,18.56552601,64.20489785,52.62532754,19.10026295,21.92083229,2.51990484,-13.10818376,26.22062692,4.72782677,6.06594157,26.22062692,-4.72782677,-6.06594157
22,60.1120351,-38.9985704,11.49719342,68.35846002,49.78758302,29.38219574,22.2993226,1.2911458,-5.2282034,67.10394136,-31.45069654,19.48143832,68.43111014,53.8764434,22.02557722,22.64753404,2.50912836,-13.04466256,26.61749456,4.58971884,6.02538434,26.61749456,-4.58971884,-6.02538434
23,62.69244212,-40.19915912,13.02899988,72.69755337,50.57936903,32.37954883,22.80864821,1.23094958,-4.93881453,69.21371831,-32.06772611,20.27090498,72.68834924,54.80889342,25.00753512,23.34040661,2.50175099,-13.0011576,26.95044018,4.39218441,5.97196803,26.95044018,-4.39218441,-5.97196803
24,65.3370228,-41.263742,14.75434832,77.0233074,51.1348346,35.3189304,23.34885248,1.17268888,-4.6584832,71.20805228,-32.64259984,20.9336246,76.9120168,55.43099928,27.95575648,24.00345156,2.4948136,-12.96023488,27.20856936,4.13754372,5.90150144,27.20856936,-4.13754372,-5.90150144
25,68.00379575,-42.1973685,16.63885025,81.299154,51.48902025,38.179665,23.90808125,1.11308525,-4.37145225,73.07110425,-33.205165,21.47915675,81.05744325,55.778483,30.803214,24.64009925,2.483505,-12.893502,27.380638,3.8331305,5.80972975,27.380638,-3.8331305,-5.80972975
26,70.63850246,-43.019436,18.6308895,85.50561224,51.68487956,40.96868276,24.46784512,1.04884214,-4.0618322,74.78988884,-33.79404984,21.92667548,85.11199616,55.90713166,33.52187604,25.25214974,2.46189466,-12.76586732,27.45863258,3.49161382,5.69404438,27.45863258,-3.49161382,-5.69404438
27,73.1882719,-43.75802824,20.67345181,89.63425777,51.75979042,43.70428275,25.00805301,0.97682653,-3.71446204,76.35791344,-34.44550568,22.30171898,89.08760162,55.87385045,36.11488443,25.83991704,2.4241702,-12.54274832,27.43965157,3.12895875,5.55487905,27.43965157,-3.12895875,-5.55487905
28,75.6145602,-44.4440628,22.71585524,93.67689944,51.739224,46.39566756,25.51212476,0.894312,-3.3161122,77.78032604,-35.18037616,22.63470152,93.0016702,55.72423664,38.59468132,26.40340552,2.36600244,-12.19795936,27.3281688,2.76200396,5.39776052,27.3281688,-2.76200396,-5.39776052
29,77.90063997,-45.1067226,24.72341456,97.61732428,51.63649105,49.03039177,25.97029295,0.79931669,-2.85710106,79.07519503,-35.99469593,22.95907661,96.85801441,55.48844068,40.96355506,26.94270816,2.28566251,-11.72024105,27.13641326,2.40554896,5.2354049,27.13641326,-2.40554896,-5.2354049
