"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,2.138629,-7.024497,3.065944,0.279834,4.659156,-7.112975,9.836837,1.607992,-6.746577,4.389109,-10.770404,-5.976978,2.037639,5.976047,-5.868423,6.874784,2.005339,-10.040624,10.676276,1.653879,1.326791,10.676276,-1.653879,-1.326791
1,3.4411975,-7.337061,3.156256,1.845995,5.2362305,-6.415688,10.4978525,1.736962,-7.361962,5.5100915,-10.9103285,-5.516739,3.231986,6.1855865,-5.345603,7.259039,2.1215365,-10.739143,10.928232,1.6395035,1.3996175,10.928232,-1.6395035,-1.3996175
2,4.916055,-7.687352,3.23259,3.589714,5.933033,-5.702916,11.202401,1.86071,-7.950811,6.88239,-11.131061,-4.991827,4.745957,6.486729,-4.785648,7.769547,2.241542,-11.457175,11.222789,1.649481,1.488657,11.222789,-1.649481,-1.488657
3,6.553391,-8.075983,3.3035225,5.4864475,6.7513405,-4.959032,11.938648,1.9824225,-8.5282815,8.5216425,-11.438781,-4.3983485,6.5919955,6.894811,-4.214908,8.407628,2.3598015,-12.161126,11.563657,1.6875255,1.593412,11.563657,-1.6875255,-1.593412
4,8.334972,-8.502754,3.379542,7.503688,7.686708,-4.174316,12.693099,2.104614,-9.106252,10.420929,-11.832005,-3.737306,8.750176,7.418731,-3.651591,9.161797,2.471878,-12.824845,11.952113,1.754862,1.711374,11.952113,-1.754862,-1.711374
5,10.2517195,-8.971466,3.4715705,9.6199375,8.7404775,-3.3450905,13.4551095,2.227923,-9.6875575,12.5715085,-12.3079165,-3.0085675,11.19317,8.0696015,-3.0992635,10.0174695,2.5752345,-13.4337645,12.3909235,1.8517225,1.8394325,12.3909235,-1.8517225,-1.8394325
6,12.290429,-9.486602,3.588288,11.816631,9.907703,-2.477261,14.216623,2.350775,-10.264696,14.935994,-12.853331,-2.21795,13.856355,8.847252,-2.544068,10.946387,2.670594,-13.992839,12.878735,1.973471,1.973295,12.878735,-1.973471,-1.973295
7,14.444905,-10.056999,3.7366175,14.0868165,11.186562,-1.5780955,14.9725535,2.469913,-10.82231,17.472392,-13.4532505,-1.3714595,16.666805,9.7525925,-1.9570885,11.917001,2.761019,-14.520421,13.414187,2.11302,2.1091695,13.414187,-2.11302,-2.1091695
8,16.701097,-10.688479,3.918499,16.424088,12.564762,-0.653544,15.720008,2.582086,-11.345426,20.121033,-14.088202,-0.481241,19.536667,10.776674,-1.303606,12.893335,2.851424,-15.045379,13.990641,2.259954,2.24416,13.990641,-2.259954,-2.24416
9,19.045203,-11.3868235,4.134004,18.8261395,14.028176,0.299289,16.4566325,2.6847735,-11.8225715,22.8270875,-14.742717,0.4399265,22.388429,11.914465,-0.548564,13.8431595,2.946504,-15.594633,14.6002875,2.4037775,2.3768545,14.6002875,-2.4037775,-2.3768545
10,21.453651,-12.149195,4.3789,21.286417,15.551971,1.290109,17.181196,2.777686,-12.252856,25.541193,-15.405577,1.37654,25.167494,13.153946,0.324853,14.744555,3.048568,-16.180967,15.230766,2.536126,2.507271,15.230766,-2.536126,-2.507271
11,23.902213,-12.969855,4.6489495,23.800833,17.1102775,2.336051,17.8929665,2.8616965,-12.6406745,28.229537,-16.071798,2.3149095,27.8481145,14.4852675,1.319812,15.5863185,3.1568585,-16.7991885,15.8685965,2.65194,2.635995,15.8685965,-2.65194,-2.635995
12,26.363977,-13.836004,4.938395,26.364643,18.675131,3.451817,18.593893,2.938806,-12.995587,30.875149,-16.739416,3.244475,30.440592,15.889453,2.416678,16.372992,3.267324,-17.425694,16.49893,2.750848,2.763895,16.49893,-2.750848,-2.763895
13,28.815362,-14.7353275,5.243815,28.9800665,20.221902,4.6507445,19.2883045,3.0103415,-13.3239135,33.4718955,-17.406336,4.15895,32.97541,17.3449955,3.590618,17.1170365,3.374301,-18.028242,17.1068705,2.834717,2.891517,17.1068705,-2.834717,-2.891517
14,31.238029,-15.654945,5.563321,31.652107,21.732111,5.934641,19.983688,3.076773,-13.628009,36.023643,-18.067459,5.057681,35.498432,18.822355,4.81088,17.839174,3.472203,-18.576078,17.680103,2.907542,3.019198,17.680103,-2.907542,-3.019198
15,33.617842,-16.585633,5.8986235,34.393272,23.191024,7.3015565,20.6896865,3.1369185,-13.902635,38.534685,-18.713149,5.9431565,38.0564825,20.2892955,6.0533295,18.5610305,3.55619,-19.043197,18.20687,2.972605,3.1471215,18.20687,-2.972605,-3.1471215
16,35.947769,-17.520229,6.252957,37.214966,24.590376,8.73995,21.415909,3.18877,-14.138861,41.010017,-19.331902,6.820662,40.68718,21.714144,7.300457,19.302485,3.623998,-19.418417,18.680298,3.032577,3.275181,18.680298,-3.032577,-3.275181
17,38.2222135,-18.4536735,6.6316775,40.1316605,25.9204665,10.239806,22.1715625,3.2294,-14.32361,43.4490185,-19.9106695,7.694954,43.41815,23.06691,8.5441765,20.079758,3.674722,-19.6979465,19.0935935,3.0882705,3.402669,19.0935935,-3.0882705,-3.402669
18,40.440617,-19.381895,7.038953,43.148849,27.174562,11.78956,22.961348,3.256782,-14.447947,45.848335,-20.441082,8.568987,46.256824,24.328163,9.784309,20.901171,3.710085,-19.89225,19.445412,3.139033,3.527912,19.445412,-3.139033,-3.527912
19,42.601246,-20.3007555,7.4800715,46.269848,28.340828,13.383371,23.7872545,3.2692405,-14.504472,48.1984695,-20.9171685,9.441781,49.2011145,25.4822695,11.0259095,21.7702295,3.732238,-20.0137205,19.7337065,3.182232,3.647594,19.7337065,-3.182232,-3.647594
20,44.706448,-21.206902,7.958967,49.484898,29.411921,15.016765,24.644871,3.267117,-14.49484,50.48941,-21.34103,10.307478,52.232445,26.526119,12.276389,22.681791,3.744442,-20.080555,19.961403,3.214191,3.756962,19.961403,-3.214191,-3.756962
21,46.757353,-22.096862,8.482686,52.780947,30.378108,16.689418,25.5268535,3.2512445,-14.4228125,52.706995,-21.717526,11.1549705,55.32881,27.456773,13.5434365,23.6274175,3.749328,-20.1072975,20.1300735,3.229708,3.849207,20.1300735,-3.229708,-3.849207
22,48.75919,-22.969084,9.057688,56.135239,31.239532,18.399841,26.421263,3.223925,-14.298737,54.841099,-22.057901,11.970775,58.461372,28.280436,14.832485,24.593384,3.749454,-20.107992,20.245317,3.223991,3.917665,20.245317,-3.223991,-3.917665
23,50.7161255,-23.822652,9.6943745,59.524685,31.996665,20.1475075,27.314661,3.1871335,-14.1314095,56.8795985,-22.373913,12.7390705,61.602762,29.0005465,16.1477735,25.5651245,3.746596,-20.092346,20.310896,3.191273,3.954978,20.310896,-3.191273,-3.954978
24,52.635639,-24.658792,10.400816,62.924278,32.660191,21.928083,28.193106,3.143023,-13.930475,58.818481,-22.679047,13.448314,64.727646,29.627373,17.489334,26.527657,3.742053,-20.067476,20.333523,3.127785,3.956762,20.333523,-3.127785,-3.956762
25,54.524252,-25.4782535,11.1877465,66.31189,33.2390215,23.736126,29.0427905,3.092723,-13.7008995,60.6532025,-22.985208,14.0887645,67.8143575,30.16815,18.854993,27.466844,3.7363905,-20.0364665,20.318047,3.0295465,3.9191475,20.318047,-3.0295465,-3.9191475
