"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,2.968471,-7.554967,2.624577,0.066402,5.108387,-6.629201,8.112598,1.268615,-5.119916,6.315389,-10.607592,-4.708935,3.35101,6.671558,-5.665729,8.764919,0.484019,-0.688615,9.365958,1.565418,0.185278,9.365958,-1.565418,-0.185278
1,5.87584504,-8.10346128,3.04776808,2.54246708,6.31806176,-5.54822216,8.6615998,1.49919152,-6.22616836,9.26246476,-11.07463588,-3.57040448,5.7596616,7.20673108,-4.98639148,9.20389984,0.635192,-1.62798376,10.0962608,1.6614332,0.34800736,10.0962608,-1.6614332,-0.34800736
2,9.33245412,-8.80350672,3.5647072,5.39385064,7.84272636,-4.48745688,9.28952696,1.73210292,-7.33880728,12.78106892,-11.62931544,-2.19429768,8.50253296,7.98235756,-4.35320988,9.73338652,0.782238,-2.54085952,11.05376856,1.77993056,0.57880192,11.05376856,-1.77993056,-0.57880192
3,13.17856424,-9.61252672,4.19541268,8.34614904,9.605548,-3.48257652,9.89121048,1.96963556,-8.46770228,16.743972,-12.25264568,-0.59718528,11.34069644,9.01691104,-3.70679644,10.26739048,0.93209776,-3.46986224,12.23858764,1.93872176,0.88728484,12.23858764,-1.93872176,-0.88728484
4,17.23440704,-10.49083564,4.9304068,11.14358864,11.5155294,-2.54233188,10.37716016,2.21656636,-9.6341052,20.9878114,-12.92027036,1.19590192,14.03301156,10.31343408,-2.9827834,10.71621588,1.09476508,-4.47614656,13.62178084,2.15171948,1.27200008,13.62178084,-2.15171948,-1.27200008
5,21.3415188,-11.4141826,5.7324802,13.6222516,13.4890452,-1.6474274,10.7022368,2.4763748,-10.8524956,25.3456012,-13.6096392,3.1439556,16.4001854,11.8598882,-2.15569,11.0143536,1.2758762,-5.5932166,15.1486156,2.4210432,1.7135122,15.1486156,-2.4210432,-1.7135122
6,25.3829282,-12.37387504,6.5545648,15.73365536,15.4616226,-0.76183916,10.87358136,2.74797892,-12.1154324,29.67409484,-14.30271256,5.18271832,18.3639462,13.62552548,-1.25506392,11.14050972,1.47162376,-6.79570372,16.74944036,2.73254972,2.17536856,16.74944036,-2.73254972,-2.17536856
7,29.28403452,-13.36886932,7.35827028,17.53585716,17.39236568,0.139176640000001,10.94506304,3.02151928,-13.37512696,33.86176024,-14.98267652,7.22279116,19.95434528,15.55261228,-0.354099519999999,11.12336744,1.66767004,-7.99394152,18.34864104,3.05597004,2.61145608,18.34864104,-3.05597004,-2.61145608
8,33.00396992,-14.39370224,8.12561368,19.15802872,19.26494948,1.0494746,10.99830792,3.27774352,-14.54301872,37.82998716,-15.6369634,9.16036668,21.29224224,17.56131824,0.45996784,11.0306118,1.84224508,-9.05501068,19.87414156,3.3538732,2.97629684,19.87414156,-3.3538732,-2.97629684
9,36.51878168,-15.42973252,8.8563084,20.73964508,21.07949816,1.94124588,11.1120192,3.49418976,-15.51990444,41.53039284,-16.26424876,10.90046632,22.54223816,19.57166056,1.1196178,10.94144828,1.97276648,-9.84424488,21.26796532,3.59531732,3.23419932,21.26796532,-3.59531732,-3.23419932
