"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,8.585183,-9.805027,-0.346718,0.074585,9.031145,-12.766387,7.976719,0.793184,-2.827455,12.264856,-11.091783,-2.586076,1.673341,10.085639,-13.221741,5.209385,2.074801,-10.458589,13.932256,2.662196,5.178462,13.932256,-2.662196,-5.178462
1,10.6985713,-10.68069832,-0.19746892,2.01869016,10.82121774,-11.71489372,8.64570394,1.00291636,-3.84033828,14.41217294,-11.93520784,-1.97433146,3.4889287,11.47220696,-12.92693584,5.85530778,2.152976,-10.92761402,14.59140204,2.82241826,5.26837316,14.59140204,-2.82241826,-5.26837316
2,12.97654112,-11.67319736,-0.056292,4.09353248,12.78176288,-10.54730832,9.33955248,1.21638608,-4.86875656,16.77858532,-12.87585068,-1.30490976,5.48589856,13.1160246,-12.49874844,6.57153504,2.24229184,-11.46164876,15.315487,2.9880916,5.37007668,15.315487,-2.9880916,-5.37007668
3,15.39654146,-12.78305582,0.07501184,6.29136,14.8880135,-9.27446346,10.0527288,1.42776286,-5.8839353,19.33442474,-13.89400018,-0.57817978,7.63055668,15.0068392,-11.92669936,7.34397956,2.34140838,-12.05189514,16.09634442,3.15408702,5.4868413,16.09634442,-3.15408702,-5.4868413
4,17.9360464,-14.00853856,0.20122128,8.60938736,17.1136484,-7.90627668,10.78205956,1.6319778,-6.86114184,22.04535168,-14.96669656,0.2063326,9.88842544,17.12334312,-11.20776332,8.15800792,2.4488888,-12.68898304,16.92437048,3.31493096,5.6196558,16.92437048,-3.31493096,-5.6196558
5,20.5722751,-15.3434703,0.3339834,11.0472654,19.4318205,-6.4497695,11.5260001,1.8253847,-7.7828808,24.8757431,-16.0712078,1.0496863,12.229524,19.4359953,-10.3470017,9.0007663,2.5630576,-13.3621889,17.7886313,3.4659532,5.7672207,17.7886313,-3.4659532,-5.7672207
6,23.2820894,-16.77562192,0.49072636,13.60492208,21.81610676,-4.90857252,12.28407176,2.0059336,-8.63962784,27.79168108,-17.1881688,1.9533074,14.63259492,21.9100576,-9.3559346,9.8629808,2.68188504,-14.05884144,18.6768708,3.60447896,5.9262578,18.6768708,-3.60447896,-5.9262578
7,26.04240802,-18.28670038,0.69267978,16.28130088,24.24153792,-3.28364824,13.05655928,2.17304794,-9.42910492,30.76292988,-18.30246876,2.91868952,17.0870984,24.5074427,-8.2482602,10.73966854,2.8031779,-14.7655371,19.57575084,3.73017088,6.09212474,19.57575084,-3.73017088,-6.09212474
8,28.83099692,-19.85397212,0.96203956,19.07414984,26.68549264,-1.57469948,13.84425312,2.32708384,-10.15355032,33.76367152,-19.40246452,3.94665192,19.59296836,27.18742684,-7.03498936,11.6296722,2.9248534,-15.46981548,20.47132904,3.84470176,6.25956408,20.47132904,-3.84470176,-6.25956408
9,31.62777694,-21.45259234,1.31935898,21.9807369,29.12773526,0.21854516,14.64816402,2.46865946,-10.8164565,36.77266476,-20.47839112,5.03634614,22.15917498,29.90717942,-5.72044948,12.53463216,3.04527124,-16.16206746,21.34998484,3.9508621,6.42330936,21.34998484,-3.9508621,-6.42330936
