"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,4.396253,-8.607371,-0.054575,0.132902,5.204679,-6.658299,8.747628,1.446126,-5.971966,8.454586,-11.171607,-4.906064,5.087084,7.321369,-5.37031,7.652697,2.319669,-11.922658,12.166507,1.887757,1.777588,12.166507,-1.887757,-1.777588
1,5.2609835,-8.792283,0.096276,0.9891715,5.6484835,-6.3350645,9.018869,1.5068955,-6.263055,9.3114535,-11.368629,-4.5425435,5.9297115,7.505711,-5.209365,7.9179195,2.3805085,-12.2840265,12.3480955,1.9559305,1.755513,12.3480955,-1.9559305,-1.755513
2,6.251135,-9.018875,0.259084,1.988824,6.190327,-5.972577,9.342716,1.576934,-6.598137,10.313194,-11.608006,-4.111483,6.926035,7.752834,-5.031611,8.235986,2.445889,-12.671254,12.559824,2.036101,1.75412,12.559824,-2.036101,-1.75412
3,7.3716975,-9.297579,0.434552,3.1389005,6.8424615,-5.562782,9.7213785,1.655729,-6.974551,11.463067,-11.8926265,-3.6309005,8.085072,8.0778755,-4.8255565,8.611168,2.51465,-13.0772105,12.802462,2.124601,1.7686185,12.802462,-2.124601,-1.7686185
4,8.6216,-9.638303,0.622145,4.440473,7.612062,-5.09915,10.154679,1.741662,-7.384363,12.754931,-12.222662,-3.125397,9.40626,8.492957,-4.577914,9.044422,2.585312,-13.492987,13.075052,2.21601,1.79249,13.075052,-2.21601,-1.79249
5,10.003341,-10.052174,0.820152,5.8993875,8.507772,-4.5747945,10.6437745,1.8326145,-7.8172675,14.1848265,-12.60024,-2.613993,10.889289,9.0133525,-4.273425,9.536521,2.656925,-13.912863,13.3777965,2.3052175,1.8212045,13.3777965,-2.3052175,-1.8212045
6,11.514868,-10.544504,1.025118,7.516106,9.529699,-3.986897,11.187445,1.925937,-8.260504,15.743449,-13.02809,-2.104852,12.523173,9.652354,-3.899612,10.083922,2.729357,-14.335985,13.710714,2.388951,1.853401,13.710714,-2.388951,-1.853401
7,13.1573265,-11.1186245,1.2335375,9.295352,10.676198,-3.33213,11.785567,2.0189305,-8.7011615,17.4248275,-13.5129645,-1.5966765,14.297358,10.42845,-3.4419225,10.682867,2.8032105,-14.765736,14.0753165,2.465857,1.890646,14.0753165,-2.465857,-1.890646
8,14.924802,-11.771268,1.442678,11.234318,11.935448,-2.610216,12.435309,2.109233,-9.128062,19.217674,-14.060221,-1.082234,16.194178,11.354979,-2.888797,11.326711,2.879332,-15.206903,14.471666,2.536189,1.936237,14.471666,-2.536189,-1.936237
9,16.810721,-12.4996145,1.650949,13.3320245,13.2940735,-1.8194015,13.134467,2.194943,-9.532286,21.11353,-14.674323,-0.5487,18.200323,12.446417,-2.227661,12.010186,2.958577,-15.6641785,14.8992625,2.6005745,1.9959435,14.8992625,-2.6005745,-1.9959435
10,18.799301,-13.298409,1.858142,15.578452,14.732661,-0.960964,13.878271,2.274985,-9.9089,23.100969,-15.351295,0.020937,20.30208,13.704497,-1.454181,12.727793,3.041319,-16.139441,15.354462,2.660117,2.07702,15.354462,-2.660117,-2.07702
11,20.8736745,-14.1656505,2.06636,17.9653885,16.2342975,-0.034815,14.6629475,2.348534,-10.254183,25.172821,-16.0816,0.645957,22.494789,15.125611,-0.5665925,13.4774455,3.1273145,-16.630931,15.832354,2.7163835,2.1872555,15.832354,-2.7163835,-2.1872555
12,23.011974,-15.09718,2.281185,20.478695,17.781239,0.956664,15.483457,2.415105,-10.566047,27.319874,-16.847761,1.33822,24.777977,16.687878,0.427544,14.258971,3.215248,-17.130892,16.325569,2.771844,2.32968,16.325569,-2.771844,-2.32968
13,25.194521,-16.089749,2.512172,23.1092565,19.358278,2.0139265,16.336445,2.473744,-10.840217,29.5346765,-17.6298575,2.10149,27.1613225,18.361386,1.519635,15.0762695,3.3028735,-17.626382,16.8257885,2.828769,2.501931,16.8257885,-2.828769,-2.501931
