"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,5.160303,-11.813368,9.605293,0.287218,11.022811,-11.140573,8.24527,2.902883,-18.003658,9.685401,-15.020564,-9.140285,8.941952,10.938809,-5.112392,8.441944,0.391612,-6.731878,10.566016,2.228737,2.525101,10.566016,-2.228737,-2.525101
1,7.5183166,-12.6165494,9.061908,2.452551,12.992937,-9.8756702,9.0171746,3.0324164,-18.5654894,12.5746886,-15.9601802,-9.563135,12.3255994,11.8149592,-3.710115,9.4566982,0.3750884,-6.6342042,11.1936608,2.4352854,2.7862586,11.1936608,-2.4352854,-2.7862586
2,10.122104,-13.590237,8.4810304,4.9119532,15.1955232,-8.5213944,9.8897556,3.1451156,-19.051258,15.6879972,-16.9824754,-9.829944,15.922053,12.804763,-2.225813,10.512875,0.3684766,-6.5951102,11.9087148,2.6475604,3.0712062,11.9087148,-2.6475604,-3.0712062
3,12.9244528,-14.715261,7.8845448,7.6352778,17.5435732,-7.0629504,10.8386694,3.2410564,-19.462508,18.9313554,-18.0450822,-9.8643098,19.5539096,13.9201088,-0.6896966,11.5391406,0.3835898,-6.6844638,12.7060088,2.8581314,3.3769112,12.7060088,-2.8581314,-3.3769112
4,15.8670352,-15.9617122,7.2988928,10.5711022,19.9401674,-5.4846946,11.8329518,3.3243082,-19.8176424,22.228422,-19.1125468,-9.6436824,23.0885188,15.1740868,0.8648262,12.4818186,0.4230786,-6.9177716,13.5767294,3.0619282,3.698306,13.5767294,-3.0619282,-3.698306
5,18.889614,-17.296879,6.749551,13.656256,22.301144,-3.780548,12.840989,3.400263,-20.140245,25.530689,-20.161674,-9.201354,26.464319,16.560324,2.407202,13.316071,0.480136,-7.254466,14.508018,3.256972,4.02845,14.508018,-3.256972,-4.02845
6,21.939256,-18.69376,6.2558058,16.8332502,24.5682802,-1.9575606,13.8361078,3.471866,-20.4431112,28.8132788,-21.180107,-8.6039482,29.6822564,18.046206,3.9148334,14.0427092,0.542763,-7.6234394,15.4839218,3.4435276,4.3589492,15.4839218,-3.4435276,-4.3589492
7,24.9740698,-20.133146,5.8258628,20.0606078,26.7156762,-0.0373720000000014,14.8003428,3.5376496,-20.720297,32.0656838,-22.1644964,-7.930084,32.7889016,19.5775362,5.3786322,14.6837536,0.5988244,-7.9531884,16.4848314,3.623065,4.68063,16.4848314,-3.623065,-4.68063
8,27.963786,-21.6053458,5.4594374,23.3206526,28.7400914,1.9557834,15.7240802,3.5921104,-20.948987,35.2816286,-23.1170632,-7.2436968,35.846501,21.0980064,6.8040092,15.2696824,0.6400898,-8.1955628,17.4903016,3.7968184,4.9844192,17.4903016,-3.7968184,-4.9844192
9,30.8867952,-23.1070062,5.1500274,26.6146276,30.6530378,4.0030068,16.6042526,3.628145,-21.0999096,38.4550234,-24.043628,-6.5855978,38.9170408,22.560249,8.2089374,15.833866,0.663434,-8.3325468,18.4804058,3.9651198,5.2623158,18.4804058,-3.9651198,-5.2623158
10,33.72789,-24.638041,4.88869,29.955532,32.470844,6.097865,17.441698,3.639907,-21.149107,41.580116,-24.950506,-5.972724,42.050827,23.929707,9.615543,16.406918,0.669697,-8.369277,19.437975,4.127204,5.508289,19.437975,-4.127204,-5.508289
