"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,11.359521,-13.981463,5.33962,0.07041,13.90496,-15.230953,6.48613,1.987148,-13.931242,16.40521,-15.554822,-8.488034,9.230569,14.879468,-10.274204,8.401438,0.543359,-7.626949,14.866114,2.469634,2.670533,14.866114,-2.469634,-2.670533
1,13.79221336,-15.01103648,5.2048472,2.33283204,16.19641972,-13.6400184,7.45751988,2.22788532,-15.01801448,19.10566272,-16.66807252,-8.37592824,12.26127984,16.29934712,-8.826373,9.35819016,0.64393448,-8.21812592,15.60824136,2.6523192,2.77474884,15.60824136,-2.6523192,-2.77474884
2,16.42508616,-16.20232112,4.98057428,4.9121232,18.7091006,-11.87111748,8.52758204,2.44910916,-16.0068398,22.0149424,-17.85511864,-8.16171412,15.58000276,17.84370608,-7.1594626,10.40465656,0.76174628,-8.9083418,16.39357712,2.83145908,2.88681296,16.39357712,-2.83145908,-2.88681296
3,19.22824564,-17.53938396,4.66142976,7.82877252,21.37261048,-9.881919,9.68062812,2.6456038,-16.87684132,25.10000672,-19.0933082,-7.84225732,19.15806048,19.47845708,-5.28871104,11.52754364,0.89345556,-9.6768524,17.21144532,3.0011126,2.99782704,17.21144532,-3.0011126,-2.99782704
4,22.16739588,-18.99931772,4.26524832,11.09247604,24.10376176,-7.63864728,10.89729128,2.81654252,-17.62708856,28.32718188,-20.35922956,-7.41962312,22.96435028,21.16259788,-3.23605608,12.71237752,1.03466488,-10.49684664,18.0511102,3.15634656,3.10019828,18.0511102,-3.15634656,-3.10019828
5,25.2063954,-20.5558892,3.8319866,14.6957482,26.8195864,-5.1289064,12.1568658,2.9643622,-18.2707696,31.6638972,-21.6289512,-6.8998774,26.9665494,22.8498354,-1.028214,13.9441284,1.1803894,-11.3384606,18.9017678,3.2934542,3.1897424,18.9017678,-3.2934542,-3.1897424
6,28.30967368,-22.18279388,3.41631796,18.61072968,29.44983452,-2.36749004,13.43963576,3.09316036,-18.82766584,35.07990312,-22.87848308,-6.29147736,31.1313276,24.49145084,1.3055314,15.20763568,1.32574868,-12.17298672,19.75261008,3.41039812,3.26696896,19.75261008,-3.41039812,-3.26696896
7,31.44391656,-23.85605636,3.07550492,22.79221328,31.94454392,0.607160800000003,14.72858904,3.20688144,-19.31625808,38.54739908,-24.08464828,-5.60420984,35.42354552,26.04030412,3.7344762,16.4876726,1.46645872,-12.97579364,20.5928098,3.50709224,3.33717316,20.5928098,-3.50709224,-3.33717316
8,34.57917048,-25.55550904,2.85669832,27.18659676,34.27455008,3.74420752,16.01016068,3.30796064,-19.74803768,42.04015916,-25.22642508,-4.84909284,39.8050232,27.45522992,6.22686164,17.76882652,1.5991052,-13.72781472,21.41162776,3.58531716,3.40915488,21.41162776,-3.58531716,-3.40915488
9,37.68934232,-27.26536628,2.78811352,31.74311852,36.424996,6.9942642,17.27393684,3.39676832,-20.12542856,45.53234224,-26.28643484,-4.03837656,44.2339446,28.70505168,8.7501312,19.03540664,1.72122124,-14.41583332,22.19862648,3.64812244,3.49322248,22.19862648,-3.64812244,-3.49322248
10,40.7531262,-28.9739286,2.8757878,36.4207256,38.387362,10.318884,18.5118398,3.4720018,-20.443688,48.997542,-27.2534354,-3.186494,48.6655396,29.7729756,11.2721274,20.2717612,1.8312832,-15.0322692,22.9443952,3.6990156,3.5986734,22.9443952,-3.6990156,-3.5986734
11,43.75502436,-30.67321504,3.1093306,41.19039864,40.15239508,13.69340952,19.71725132,3.5315958,-20.69483116,52.40846184,-28.12352936,-2.3104776,53.055431,30.65702932,13.76428516,21.46294176,1.92858224,-15.57423628,23.64100444,3.74066856,3.73168964,23.64100444,-3.74066856,-3.73168964
12,46.68700464,-32.35811584,3.47258284,46.03075344,41.7082354,17.1019188,20.88424412,3.57365204,-20.87155664,55.7377892,-28.90008548,-1.4303768,57.36326636,31.36711684,16.2039916,22.59554028,2.01306108,-16.04245732,24.2825904,3.77375792,3.89400192,24.2825904,-3.77375792,-3.89400192
13,49.55005036,-34.02443488,3.95349464,50.92124108,43.04207224,20.52960864,22.00736784,3.59719648,-20.97030776,58.96008192,-29.59328208,-0.568094880000001,61.55636976,31.9207702,18.5751928,23.65884884,2.08512004,-16.44008928,24.86564288,3.79647376,4.0823234,24.86564288,-3.79647376,-4.0823234
14,52.35492132,-35.66686976,4.5501986,55.837192,44.14321404,23.95691684,23.08183952,3.60248096,-20.9924546,62.05447212,-30.21834292,0.255329280000001,65.61210996,32.3380466,20.86716284,24.64601476,2.14543876,-16.7716704,25.38893468,3.8046878,4.28876212,25.38893468,-3.8046878,-4.28876212
15,55.120893,-37.2769016,5.2714688,60.7474514,45.0044076,27.3565808,24.1036338,3.5907586,-20.9433178,65.006554,-30.7933476,1.0230862,69.5185198,32.6375442,23.07213,25.5548304,2.1948116,-17.0422122,25.8527434,3.7928122,4.5020898,25.8527434,-3.7928122,-4.5020898
