"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,4.952998,-11.652937,3.860403,0.063047,8.796771,-8.966307,7.47189,3.29747,-19.703335,11.096713,-14.552751,-15.288936,11.090029,8.366759,0.020751,8.875263,0.304596,-6.217077,12.357297,2.027247,1.856516,12.357297,-2.027247,-1.856516
1,5.98132361,-11.89940112,4.03292314,1.06827968,9.44521475,-8.4963757,7.85029375,3.38945169,-20.09440171,12.17044733,-14.81390455,-15.08646367,12.237346,8.3933539,0.39875143,9.22687462,0.36207424,-6.55724827,12.57539082,2.10740733,1.84483137,12.57539082,-2.10740733,-1.84483137
2,7.13548862,-12.19704922,4.21103822,2.21353678,10.20930944,-7.96726408,8.2920524,3.49037098,-20.52118418,13.39074774,-15.12024098,-14.87458712,13.563839,8.44752868,0.8344785,9.63793406,0.42199644,-6.91138032,12.82345072,2.19516108,1.84532304,12.82345072,-2.19516108,-1.84532304
3,8.41839679,-12.55254209,4.3859204,3.5047896,11.09515728,-7.37015322,8.79889619,3.59852531,-20.97587411,14.76012399,-15.4752361,-14.65585781,15.07441111,8.53874286,1.33373804,10.10901803,0.48408492,-7.27775356,13.10293936,2.28871628,1.85833301,13.10293936,-2.28871628,-1.85833301
4,9.8318956,-12.97306324,4.54706212,4.94936968,12.10582736,-6.69648916,9.37205172,3.71125764,-21.44679856,16.27790168,-15.88151212,-14.43303616,16.77020176,8.67758352,1.90365096,10.63891948,0.54817108,-7.6552712,13.41483312,2.38545516,1.88435828,13.41483312,-2.38545516,-1.88435828
5,11.37442345,-13.46458265,4.68392795,6.55341115,13.23821005,-5.93933355,10.0109958,3.82514315,-21.91940655,17.93748485,-16.33993185,-14.20817685,18.6449077,8.8744697,2.5519217,11.2235348,0.61437465,-8.0445541,13.7590242,2.48221255,1.92393255,13.7590242,-2.48221255,-1.92393255
6,13.04428846,-14.03321128,4.78666322,8.3260204,14.48570296,-5.09062242,10.71519662,3.93647018,-22.37830892,19.73043516,-16.85111088,-13.98187198,20.690221,9.1408494,3.2893802,11.8577117,0.68334612,-8.44931156,14.13509768,2.57567834,1.9780426,14.13509768,-2.57567834,-1.9780426
7,14.8352392,-14.68212885,4.84847208,10.27361438,15.83402529,-4.14342838,11.48203508,4.04175179,-22.80945138,21.64287673,-17.41411982,-13.75280293,22.89180207,9.48667367,4.12712996,12.53435056,0.75614748,-8.87560334,14.54117617,2.6629563,2.04769193,14.54117617,-2.6629563,-2.04769193
8,16.7371218,-15.41126904,4.86726564,12.3994642,17.2626726,-3.09230068,12.30720072,4.13820128,-23.202,23.65802232,-18.02669372,-13.51791252,25.23288644,9.91862844,5.07514848,13.24602484,0.83397952,-9.33025056,14.97408928,2.74216216,2.13367844,14.97408928,-2.74216216,-2.13367844
9,18.73773856,-16.21842029,4.84611129,14.70593281,18.74734604,-1.93234337,13.18590317,4.22375037,-23.54819973,25.75967167,-18.68581949,-13.27324396,27.699716,10.439031,6.14192883,13.98703707,0.91774599,-9.81821421,15.42962447,2.81255905,2.23651845,15.42962447,-2.81255905,-2.23651845
10,20.8197144,-17.0960767,4.795126,17.1870634,20.2596976,-0.6645311,14.1112615,4.2975198,-23.845246,27.930901,-19.3852726,-13.0155063,30.2795876,11.0390184,7.3270901,14.7537668,1.0073658,-10.3386636,15.9015778,2.8749134,2.3551566,15.9015778,-2.8749134,-2.3551566
