"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,10.750128,-13.908339,5.936832,0.22732,14.952471,-16.033321,7.331576,2.870781,-17.863846,15.957702,-15.311988,-5.052685,6.663252,14.737648,-12.558609,7.107965,0.681267,-8.437124,14.866658,2.984018,5.388405,14.866658,-2.984018,-5.388405
1,13.06889025,-14.90646965,5.6211567,2.28640929,17.0918318,-14.45138249,8.20424654,3.0815142,-18.77744456,18.45992425,-16.27363876,-5.04167382,9.16900621,16.17607439,-11.50604398,7.88094215,0.72474196,-8.69182923,15.58610718,3.15227813,5.48982176,15.58610718,-3.15227813,-5.48982176
2,15.51612698,-16.01412038,5.23864106,4.52136612,19.32321498,-12.71812722,9.11154586,3.28526154,-19.65124792,21.1286792,-17.29305076,-4.98223698,11.86398272,17.75272088,-10.27180898,8.69540508,0.77991798,-9.014583,16.35417226,3.317451,5.60630054,16.35417226,-3.317451,-5.60630054
3,18.07437574,-17.22997042,4.79255011,6.95061835,21.61108628,-10.83309537,10.04901786,3.4764678,-20.4625247,23.93268347,-18.34787801,-4.86833723,14.72048808,19.44033168,-8.86173846,9.53694856,0.84588212,-9.39967373,17.16241301,3.47392656,5.73778217,17.16241301,-3.47392656,-5.73778217
4,20.72565564,-18.54809428,4.29804648,9.59126496,23.91794812,-8.79530936,11.01321328,3.6515534,-21.19776976,26.8415356,-19.4178548,-4.69667104,17.71619328,21.2075496,-7.2873032,10.39413536,0.9210142,-9.83722376,18.00120908,3.61744724,5.88240228,18.00120908,-3.61744724,-5.88240228
5,23.44984055,-19.95564955,3.78265765,12.4517524,26.20664935,-6.6069708,12.0011695,3.8094546,-21.85447835,29.8266021,-20.4866632,-4.46742165,20.8355836,23.01852195,-5.5649446,11.2595462,1.0028934,-10.3127337,18.8592365,3.74625325,6.03669525,18.8592365,-3.74625325,-6.03669525
6,26.22578108,-21.43392652,3.28219594,15.52941858,28.4439184,-4.27530298,13.01033034,3.95122868,-22.43890892,32.8631245,-21.54227928,-4.18344178,24.07083258,24.83404336,-3.71162202,12.13011772,1.08886858,-10.81047068,19.72415966,3.8611158,6.19630952,19.72415966,-3.8611158,-6.19630952
7,29.03267338,-22.96069742,2.8359591,18.81212726,30.60233209,-1.81259894,14.03856618,4.07904672,-22.9615254,35.93044304,-22.57545237,-3.84853884,27.41962521,26.61192719,-1.7415448,13.00606142,1.17665907,-11.31699403,20.58319577,3.96459589,6.35659876,20.58319577,-3.96459589,-6.35659876
8,31.85106408,-24.51208392,2.48294584,22.27998344,32.6610952,0.763866720000002,15.08391056,4.19535536,-23.43349192,39.01123052,-23.5780246,-3.46622952,30.88098988,28.30775496,0.334026120000001,13.8896244,1.26481576,-11.82379916,21.42375912,4.06019764,6.51288608,21.42375912,-4.06019764,-6.51288608
9,34.66404832,-26.0644945,2.25491265,25.90558317,34.60774818,3.43158106,16.1440056,4.30225409,-23.86425678,42.09049997,-24.54284783,-3.03971386,34.44876826,29.88066971,2.50339759,14.78373687,1.35299308,-12.32883043,22.23462442,4.1514205,6.66086868,22.23462442,-4.1514205,-6.66086868
10,37.4587782,-27.5969177,2.1748297,29.6633521,36.4334107,6.1688506,17.2161673,4.4005767,-24.257892,45.1555464,-25.4631231,-2.5701775,38.1117677,31.2956553,4.7543539,15.6913486,1.4417639,-12.8352765,23.0061549,4.2408152,6.7966144,23.0061549,-4.2408152,-6.7966144
11,40.22691414,-29.09116565,2.25596255,33.5324961,38.12915858,8.95624799,18.29699769,4.48966176,-24.61239187,48.19526643,-26.33247788,-2.05767506,41.8530476,32.52517633,7.07101387,16.61517622,1.53215062,-13.34881783,23.73039441,4.32936868,6.91622991,23.73039441,-4.32936868,-6.91622991
12,42.9654224,-30.53313048,2.50035428,37.49690452,39.68558088,11.77647776,19.38192608,4.56753964,-24.92061548,51.20017632,-27.1463774,-1.50254004,45.64963864,33.5539508,9.431309,17.55701076,1.62503836,-13.87427112,24.4019722,4.41614656,7.01595476,24.4019722,-4.41614656,-7.01595476
13,45.67613363,-31.91431806,2.90259204,41.54564443,41.09183419,14.61467284,20.4650429,4.63116006,-25.17124906,54.16157957,-27.90177223,-0.906266149999999,49.47525351,34.37852171,11.80846377,18.51738551,1.72079897,-14.41345878,25.01798765,4.49769923,7.09249269,25.01798765,-4.49769923,-7.09249269
14,48.36458956,-33.2332778,3.453712,45.67079126,42.33673194,17.4583022,21.53883726,4.6769433,-25.35095764,57.07027614,-28.59638504,-0.27255834,53.30235922,35.00604894,14.17270274,19.49513758,1.81900444,-14.96367822,25.57772742,4.5675127,7.1436913,25.57772742,-4.5675127,-7.1436913
15,51.03830885,-34.4969614,4.1433198,49.86404975,43.4117349,20.2979157,22.59394595,4.70155335,-25.4473329,59.9154112,-29.2289261,0.391451200000001,57.10409465,35.4542482,16.4930491,20.48685425,1.918165,-15.51634725,26.08252615,4.61596255,7.16944405,26.08252615,-4.61596255,-7.16944405
16,53.70481476,-35.72135068,4.95936788,54.1136724,44.31650904,23.12884008,23.61969548,4.70289628,-25.45258576,62.68506708,-29.80076708,1.07418104,60.85778372,35.75196352,18.74210624,21.48654316,2.01570908,-16.05709784,26.53614148,4.63169332,7.17263808,26.53614148,-4.63169332,-7.17263808
17,56.37002988,-36.92765868,5.8925954,58.40482646,45.05658318,25.95184017,24.60425529,4.68013981,-25.3634855,65.36527757,-30.31594816,1.76054577,64.54634272,35.93202709,20.89863661,22.48609352,2.10824761,-16.5673646,26.94292045,4.60297546,7.15819126,26.94292045,-4.60297546,-7.15819126
18,59.03835648,-38.13894242,6.9377456,62.71976828,45.64295522,28.77216342,25.53496632,4.63366586,-25.1810962,67.94065424,-30.78216838,2.4325436,68.15852312,36.02754534,22.94938664,23.47566758,2.19195864,-17.0265946,27.30713312,4.51923928,7.13211206,27.30713312,-4.51923928,-7.13211206
19,61.71283364,-39.3745749,8.09209129,67.03834403,46.09230307,31.59638601,26.40032359,4.56521598,-24.91144176,70.3981612,-31.21210533,3.07205447,71.68990918,36.06845146,24.89193759,24.44491895,2.26340493,-17.41674864,27.63273318,4.37424961,7.10029251,27.63273318,-4.37424961,-7.10029251
20,64.3947476,-40.6451448,9.355357,71.3392976,46.4209454,34.4279608,27.1904088,4.4770916,-24.5624952,72.7278446,-31.6219916,3.6643234,75.1402052,36.076316,26.7314662,25.3838156,2.3198748,-17.7239278,27.9218078,4.167201,7.0671584,27.9218078,-4.167201,-7.0671584
21,67.08256949,-41.95036092,10.72665935,75.59981599,46.6413168,37.26336782,27.89738738,4.37173434,-24.14267852,74.92336153,-32.03031825,4.199839,78.51089492,36.06285942,28.4774799,26.28304254,2.35951602,-17.93893142,28.17375929,3.90320421,7.03533309,28.17375929,-3.90320421,-7.03533309
22,69.76947516,-43.27950416,12.19938298,79.79492872,46.76021692,40.08966172,28.51656956,4.25164636,-23.66068418,76.9826053,-32.45593422,4.67588054,81.80350172,36.03034278,30.1414063,27.13438788,2.3814602,-18.05772054,28.3849667,3.59343296,7.00621804,28.3849667,-3.59343296,-7.00621804
23,72.44075378,-44.61552806,13.75610696,83.8982966,46.7793809,42.88501547,29.04771783,4.11936718,-23.12551684,78.90839358,-32.91507977,5.09732579,85.01892946,35.9735532,31.73514784,27.93130425,2.38585841,-18.0815105,28.54921345,3.25433269,6.98135398,28.54921345,-3.25433269,-6.98135398
24,75.07212208,-45.94131424,15.36796568,87.88196976,46.69543744,45.62140096,29.49367652,3.97720232,-22.54544628,80.70561844,-33.41980448,5.47535732,88.15586244,35.88305524,33.2689894,28.66823924,2.37345796,-18.01442204,28.65769388,2.90545552,6.96395968,28.65769388,-2.90545552,-6.96395968
25,77.62961425,-47.24415225,16.99460075,91.71679525,46.501335,48.26795475,29.86031025,3.8274875,-21.9290955,82.38081725,-33.97757325,5.826933,91.2113135,35.74819975,34.752219,29.34029875,2.34538975,-17.8623755,28.699868,2.56850075,6.959805,28.699868,-2.56850075,-6.959805
