"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,2.589397,-10.748965,7.007318,0.346868,8.29243,-9.810161,9.560689,3.540154,-20.730831,7.047031,-13.386256,-15.562203,8.217632,7.658706,-0.03791,9.175261,0.333923,-6.390702,10.622085,1.182294,1.852386,10.549215,-1.159955,-1.838446
1,4.07207436,-10.99309648,6.98648864,1.94623936,9.09502368,-9.0309136,10.22333604,3.65607744,-21.21666232,8.5591724,-13.73052716,-15.44941328,9.91929928,7.6272072,0.68612608,9.74501612,0.40968616,-6.83867,10.97685396,1.29234696,1.9147962,10.89267704,-1.26615796,-1.90065428
2,5.72043264,-11.28417524,6.9601492,3.7008858,10.00774396,-8.19235372,10.93522556,3.77246632,-21.7012034,10.29289984,-14.13758268,-15.35410348,11.88481136,7.6030162,1.42334116,10.3917778,0.47408248,-7.2187674,11.37990792,1.4171856,1.97844312,11.28498104,-1.38793988,-1.96395696
3,7.52596052,-11.6288598,6.92749684,5.60373072,11.02840268,-7.28352336,11.69119016,3.8896982,-22.18587112,12.24235608,-14.60449076,-15.26764424,14.1036936,7.587739,2.17660528,11.108547,0.52830692,-7.53832616,11.82880484,1.55337208,2.04422072,11.72396488,-1.52191828,-2.02916464
4,9.47295668,-12.03126704,6.88834992,7.64279624,12.1485048,-6.29501416,12.48449572,4.00815712,-22.672172,14.38854824,-15.12465168,-15.17560392,16.54787628,7.58430564,2.95270224,11.88301408,0.57566824,-7.81704804,12.318738,1.69703084,2.11332528,12.2050606,-1.66420132,-2.0974008
5,11.5455914,-12.4946562,6.8431298,9.8080304,13.3577856,-5.2171356,13.3090346,4.1282652,-23.1616534,16.7089504,-15.6907672,-15.059915,19.183972,7.5984452,3.762273,12.7011582,0.6207456,-8.081979,12.8444784,1.8446674,2.18716,12.7232548,-1.8112444,-2.1700412
6,13.72597872,-13.02051496,6.79284984,12.08962616,14.64289956,-4.04187004,14.15894188,4.25022608,-23.65495328,19.17554568,-16.294211,-14.90108268,21.97214888,7.63879204,4.6183992,13.54724432,0.6689062,-8.36464192,13.39973988,1.9931208,2.26721344,13.27247484,-1.95975276,-2.24857672
7,15.99453264,-13.60786292,6.73924576,14.477913,15.98731544,-2.76458084,15.02874476,4.37391512,-24.15139432,21.7563846,-16.92553884,-14.68195928,24.86961296,7.71577156,5.534466,14.40537548,0.72531332,-8.6951708,13.97727976,2.13975188,2.35474272,13.84561632,-2.10700412,-2.33430984
8,18.33317708,-14.25533088,6.68461464,16.96707664,17.3739022,-1.38107432,15.91420176,4.49886116,-24.64886124,24.42111568,-17.5758358,-14.3881116,27.837527,7.84107012,6.5244858,15.26126436,0.7945388,-9.10000372,14.56961428,2.28245368,2.45082728,14.43536056,-2.25073092,-2.4284192
9,20.72213192,-14.95806408,6.63190636,19.54984708,18.78308896,0.106224439999999,16.81150112,4.62406684,-25.14335404,27.13842544,-18.23601624,-14.0137592,30.84024752,8.0224398,7.59715932,16.10365112,0.87920824,-9.59390012,15.16839108,2.41975048,2.5557532,15.03339284,-2.3893742,-2.53132652
10,23.1443688,-15.711947,6.5847596,22.2242476,20.1954558,1.695683,17.7182096,4.7480474,-25.6289492,29.8821144,-18.898015,-13.5571676,33.8509808,8.2648896,8.7595262,16.9246322,0.9806912,-10.1839252,15.7651602,2.550383,2.6694832,15.631368,-2.5215874,-2.6431544
11,25.58283444,-16.50989656,6.5472658,24.98615892,21.59163344,3.3785902,18.63235256,4.86887788,-26.09836856,32.62903112,-19.554379,-13.02652688,36.85098084,8.56430332,10.00862688,17.72131756,1.09776792,-10.861891,16.3514178,2.67361144,2.79089468,16.22075476,-2.64655532,-2.76294532
12,28.02281488,-17.34549188,6.52434148,27.83514288,22.9525752,5.14622408,19.55287388,4.98412056,-26.5424884,35.36090268,-20.1982268,-12.43351244,39.82971636,8.91070732,11.33652884,18.49413224,1.22792988,-11.61195376,16.91858704,2.78855752,2.91835072,16.79291772,-2.76343172,-2.88923564
13,30.4512782,-18.21121232,6.52118964,30.76950088,24.26090716,6.98601104,20.47905208,5.091165,-26.95188428,38.06377388,-20.82337912,-11.79502148,42.78390304,9.28621812,12.72605124,19.24712692,1.36701272,-12.40892596,17.45872668,2.89441396,3.04939888,17.33983252,-2.8714234,-3.01971476
