"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,16.148167,-13.630694,10.352847,0.010833,11.461192,-11.419765,3.432696,3.568122,-20.848343,21.765909,-14.250384,-3.009872,8.166724,10.143195,-3.934851,4.133503,0.582063,-7.854656,16.45476,2.553353,2.865743,16.45476,-2.553353,-2.865743
1,20.18907127,-14.73372099,10.5726013,2.49988907,13.4228009,-9.6374719,3.95173526,3.82615296,-21.92358285,25.56166017,-14.64638194,-2.35763184,10.50073569,11.0512887,-3.46981133,4.46865834,0.65676753,-8.29343389,17.9423288,2.54859998,2.7287134,17.9423288,-2.54859998,-2.7287134
2,24.27482444,-15.85628576,10.70559564,4.93895492,15.40768234,-7.8097751,4.36761358,4.03811762,-22.79461726,29.44288704,-15.17449154,-1.68311048,12.95743164,12.18252436,-2.83809858,4.86606908,0.76442752,-8.92402572,19.45291822,2.5170583,2.50099044,19.45291822,-2.5170583,-2.50099044
3,28.30050664,-16.96184227,10.71528295,7.28637227,17.35263376,-6.01662847,4.65635185,4.18490794,-23.39124072,33.31791478,-15.83232385,-0.99145685,15.49512673,13.50553033,-1.98047783,5.32848994,0.90995307,-9.77287522,20.94307144,2.45776807,2.1912301,20.94307144,-2.45776807,-2.1912301
4,32.2039166,-18.03296068,10.62473788,9.55902436,19.2324464,-4.3107396,4.84393324,4.26843828,-23.72831268,37.13590308,-16.59977148,-0.28872428,18.1117964,14.9682356,-0.86269284,5.8616106,1.0893622,-10.8133124,22.37912628,2.3773616,1.83168868,22.37912628,-2.3773616,-1.83168868
5,35.95659395,-19.06970145,10.5104243,11.8017588,21.0553542,-2.7384047,4.9877361,4.30355275,-23.8694808,40.87742725,-17.44593005,0.40709385,20.8289718,16.5095807,0.5097407,6.4625107,1.2877794,-11.95550135,23.7372366,2.2918626,1.4709603,23.7372366,-2.2918626,-1.4709603
6,39.55560282,-20.08600434,10.461013,14.08096294,22.84953606,-1.31224024,5.16057842,4.31084132,-23.89874228,44.5328013,-18.336471,1.07069654,23.66535758,18.07174162,2.0775066,7.11230418,1.48152308,-13.06143596,24.99867238,2.22204968,1.15962382,24.99867238,-2.22204968,-1.15962382
7,43.01275197,-21.09992992,10.53176907,16.48657448,24.63796856,0.0316363500000004,5.43636698,4.3126446,-23.90598041,48.08566178,-19.23953886,1.68179892,26.62285874,19.60737548,3.73562536,7.78172501,1.64443971,-13.98372471,26.14407298,2.18588817,0.93495208,26.14407298,-2.18588817,-0.93495208
8,46.34204392,-22.12387052,10.73216948,19.11927224,26.42021888,1.43950832,5.8768656,4.33172384,-23.98250576,51.50971076,-20.12924592,2.23048108,29.69238332,21.07917548,5.37214412,8.44684248,1.75633688,-14.61289956,27.15092424,2.19170112,0.81079208,27.15092424,-2.19170112,-0.81079208
9,49.5496793,-23.16092154,11.04943283,22.05602465,28.17596459,3.07996771,6.51783215,4.38704087,-24.20385047,54.77531267,-20.98731227,2.71568969,32.86672816,22.45453621,6.91246265,9.10380385,1.80972781,-14.91182815,27.99630005,2.23533875,0.77519142,27.99630005,-2.23533875,-0.77519142
