"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,8.463676,-14.980615,4.199556,0.238778,14.296189,-16.582731,7.169631,1.994243,-13.963424,13.11135,-13.939878,-6.781345,6.622906,14.172509,-11.840615,7.612988,0.501164,-7.378427,13.200512,1.802906,4.38859,13.200512,-1.802906,-4.38859
1,10.93087325,-16.0566023,4.0093123,2.52639215,16.6064098,-14.80276185,8.13054695,2.2340717,-15.0458,15.82222195,-15.0444987,-7.0935098,9.66107135,15.6301172,-10.5461454,8.5752802,0.5318317,-7.55908515,13.92706705,1.9527162,4.47024865,13.92706705,-1.9527162,-4.47024865
2,13.509095,-17.2117615,3.7785285,4.9965634,19.0370237,-12.9252201,9.1440795,2.4592502,-16.051939,18.6777919,-16.2675193,-7.3211835,12.910963,17.2196198,-9.0815373,9.5919889,0.5715721,-7.7929577,14.6928802,2.1255067,4.573687,14.6928802,-2.1255067,-4.573687
3,16.1513468,-18.43321125,3.4942318,7.6429685,21.5248641,-10.9586182,10.1959434,2.66189365,-16.9486091,21.60348225,-17.57071605,-7.4282956,16.2676652,18.91296775,-7.4709179,10.6218623,0.6226055,-8.0928997,15.4825508,2.31556275,4.70295325,15.4825508,-2.31556275,-4.70295325
4,18.8058226,-19.7076256,3.1512372,10.4499536,24.0075192,-8.9113204,11.2705252,2.8373924,-17.7181748,24.5317848,-18.9169902,-7.4021788,19.641072,20.684478,-5.7438432,11.6290952,0.683734,-8.4515834,16.2796424,2.5174448,4.8624564,16.2796424,-2.5174448,-4.8624564
5,21.4200545,-21.022647,2.752337,13.391384,26.4320205,-6.79414625,12.3524375,2.984493,-18.3580595,27.410415,-20.27446625,-7.2537305,22.97044075,22.5060595,-3.93023475,12.5878065,0.75029075,-8.84134725,17.06818125,2.72731775,5.057128,17.06818125,-2.72731775,-5.057128
6,23.9472262,-22.3682404,2.305881,16.4360655,28.76107,-4.6194603,13.4291792,3.1045789,-18.8768655,30.2068235,-21.6176145,-7.0107265,26.230025,24.3422805,-2.0560704,13.4838352,0.8153928,-9.2217856,17.834229,2.943545,5.2918504,17.834229,-2.943545,-5.2918504
7,26.3525454,-23.7376067,1.82371755,19.5561942,30.97356055,-2.3979423,14.4931712,3.2007203,-19.2898659,32.90964205,-22.9253983,-6.70797325,29.4265435,26.14782585,-0.142178800000001,14.3142246,0.87154225,-9.54924125,18.5674751,3.1659926,5.5705709,18.5674751,-3.1659926,-5.5705709
8,28.618158,-25.1266036,1.3220006,22.7332614,33.060966,-0.135571999999999,15.5422404,3.2771218,-19.616553,35.527245,-24.1786502,-6.3772212,32.5896358,27.8691646,1.7941068,15.0853186,0.9123498,-9.7868254,19.262561,3.3948682,5.894947,19.262561,-3.3948682,-5.894947
9,30.74629285,-26.5323594,0.8230859,25.96020385,35.0212832,2.16800815,16.57878955,3.3389369,-19.8798798,38.08331175,-25.35760965,-6.0391372,35.75682205,29.45064175,3.7353515,15.80984735,0.9340656,-9.9131185,19.9199366,3.62904915,6.26299425,19.9199366,-3.62904915,-6.26299425
10,32.7583905,-27.9514435,0.3560015,29.240489,36.851677,4.5187945,17.6076485,3.391637,-20.103676,40.6091385,-26.4409225,-5.6993645,38.9572695,30.842351,5.661145,16.503045,0.93647,-9.927094,20.5453085,3.8650985,6.668466,20.5453085,-3.8650985,-6.668466
11,34.6925103,-29.37908935,-0.0442327499999996,32.5836253,38.5455773,6.9248199,18.63351485,3.440416,-20.31023325,43.1352969,-27.4074558,-5.3501696,42.20004265,32.00989225,7.5480079,17.179491,0.923204,-9.8499623,21.14840835,4.0967411,7.100383,21.14840835,-4.0967411,-7.100383
12,36.5975266,-30.8087694,-0.3387764,35.9985,40.0933494,9.3905612,19.6581546,3.4893564,-20.5169108,45.6836706,-28.240952,-4.975778,45.4704246,32.9430662,9.3734872,17.8503388,0.901222,-9.7220746,21.7409106,4.3156164,7.543228,21.7409106,-4.3156164,-7.543228
13,38.5252256,-32.23225725,-0.48941825,39.4881175,41.4853626,11.91274975,20.67845355,3.5405792,-20.73261615,48.2616066,-28.93549565,-4.5593692,48.73545905,33.66005965,11.1231321,18.52162115,0.87947675,-9.5954635,22.333738,4.5125833,7.9779108,22.333738,-4.5125833,-7.9779108
14,40.5219916,-33.6396325,-0.4644345,43.0475837,42.7145973,14.4791021,21.6858231,3.5936549,-20.9554611,50.8605206,-29.4993962,-4.0890329,51.9563485,34.2039367,12.7963221,19.1943361,0.8670278,-9.5229364,22.9345081,4.6791699,8.3833475,22.9345081,-4.6791699,-8.3833475
15,42.62101575,-35.01997925,-0.24533825,46.664256,43.779361,17.0695565,22.66681775,3.6453975,-21.17205675,53.45920575,-29.9557535,-3.562182,55.10262575,34.63126675,14.40782775,19.86646425,0.87096975,-9.545909,23.5456735,4.808679,8.73893225,23.5456735,-4.808679,-8.73893225
16,44.8366006,-36.3633024,0.1696748,50.320119,44.6841628,19.6607866,23.6048966,3.6905318,-21.3604592,56.0301552,-30.3369916,-2.9855642,58.1605604,34.9954592,15.9834962,20.5360072,0.8952838,-9.687507,24.163685,4.8964948,9.0274586,24.163685,-4.8964948,-9.0274586
17,47.16285065,-37.66240805,0.766138350000001,53.99397,45.4397021,22.2311112,24.48238215,3.7228582,-21.49509425,58.54603615,-30.6780585,-2.3730449,61.1341229,35.33424635,17.5533055,21.203427,0.94070825,-9.9517259,24.77980385,4.94000605,9.2371257,24.77980385,-4.94000605,-9.2371257
18,49.5764997,-38.9139445,1.5168948,57.6640053,46.0619146,24.7659501,25.2831162,3.7369357,-21.5536498,60.9846134,-31.0105294,-1.7423194,64.040703,35.6637371,19.1443209,21.8727522,1.0053977,-10.3272579,25.3819435,4.9386001,9.3621363,25.3819435,-4.9386001,-9.3621363
19,52.0447886,-40.11729865,2.3888441,61.31064185,46.568138,27.26139695,25.99506845,3.7296186,-21.52321835,63.33210105,-31.35870265,-1.11166,66.90399225,35.9784592,20.77441485,22.5509551,1.08584365,-10.79298875,25.95738055,4.89361555,9.40166495,25.95738055,-4.89361555,-9.40166495
20,54.53503,-41.272373,3.350765,64.918907,46.972546,29.72456,26.613169,3.701226,-21.405027,65.5839,-31.737894,-0.497143,69.746376,36.256588,22.447485,23.245953,1.177678,-11.322865,26.494959,4.807976,9.358479,26.494959,-4.807976,-9.358479
21,57.02298235,-42.3770871,4.38023475,68.479145,47.28208475,32.16907735,27.14059425,3.65548415,-21.2142023,67.7430591,-32.1550703,0.0898044000000004,72.58270235,36.46891815,24.1521094,23.9638564,1.2762718,-11.88952365,26.98628235,4.6856261,9.23787005,26.98628235,-4.6856261,-9.23787005
22,59.4969778,-43.4267732,5.4664042,71.9869264,47.497068,34.6081339,27.5897304,3.5987216,-20.9766989,69.8184813,-32.6104398,0.6455629,75.4168178,36.5906085,25.864264,24.7058497,1.3771717,-12.4669688,27.4263647,4.531788,9.0485611,27.4263647,-4.531788,-9.0485611
23,61.9571258,-44.4142101,6.609385,75.4406327,47.61168425,37.047659,27.9794809,3.5381501,-20.7224013,71.82106065,-33.10008315,1.17608335,78.2418182,36.60979405,27.5553294,25.4666062,1.47662005,-13.0335701,27.81266925,4.3527388,8.8027482,27.81266925,-4.3527388,-8.8027482
24,64.4106906,-45.3315466,7.815389,78.8391816,47.616709,39.4819642,28.3329814,3.4803586,-20.478957,73.7615796,-33.6175058,1.696608,81.044261,36.5315484,29.2008004,26.234402,1.5717822,-13.5732982,28.1441716,4.1559146,8.5171776,28.1441716,-4.1559146,-8.5171776
25,66.86572825,-46.17268025,9.09152125,82.17999075,47.5025895,41.89283,28.674627,3.43016325,-20.266864,75.6486775,-34.15458225,2.2283535,83.80980125,36.37525175,30.7864875,26.99298425,1.660633,-14.07499575,28.4199255,3.9495805,8.21310375,28.4199255,-3.9495805,-8.21310375
26,69.3248898,-46.9361102,10.4413009,85.4580951,47.262426,44.2524106,29.0270469,3.3900121,-20.0967864,77.4871713,-34.7014398,2.7924233,86.527469,36.1664367,32.3089757,27.7245306,1.7415708,-14.5300792,28.6375377,3.7419614,7.915289,28.6375377,-3.7419614,-7.915289
27,71.781499,-47.62719715,11.8619312,88.6663336,46.89375025,46.52848975,29.4081749,3.3598145,-19.9686195,79.27710345,-35.245957,3.4038063,89.19100215,35.92727675,33.7708586,28.41284065,1.8130086,-14.9301682,28.79227885,3.5402482,7.64987625,28.79227885,-3.5402482,-7.64987625
28,74.2188556,-48.2587402,13.3435208,91.7962846,46.399503,48.6903998,29.8290958,3.3372,-19.8724976,81.0147382,-35.7739306,4.067589,91.7981722,35.6689496,35.1741678,29.0462916,1.8732038,-15.2661286,28.8772668,3.3500312,7.4413152,28.8772668,-3.3500312,-7.4413152
29,76.613179,-48.8492121,14.86939495,94.8393655,45.7867169,50.71561055,30.2932979,3.31858875,-19.79329885,82.69499535,-36.27067495,4.77890705,94.34934885,35.38866885,36.515659,29.620146,1.9204921,-15.5292899,28.8849531,3.1753193,7.30854405,28.8849531,-3.1753193,-7.30854405
30,78.938465,-49.419367,16.418395,97.786579,45.0636695,52.5916365,30.797391,3.30022,-19.7150565,84.3134995,-36.7232015,5.526138,96.845871,35.0720365,37.785297,30.1367465,1.9534485,-15.712292,28.8084955,3.01888,7.262818,28.8084955,-3.01888,-7.262818
31,81.17095125,-49.98985625,17.96746015,100.629505,44.24015645,54.3159852,31.3320443,3.278622,-19.6229578,85.8678183,-37.1229117,6.2956659,99.28973805,34.70043615,38.9708534,30.6045167,1.97130555,-15.81131125,28.643714,2.8826393,7.3067408,28.643714,-2.8826393,-7.3067408
32,83.292944,-50.5797982,19.4961698,103.3614902,43.328486,55.895359,31.8832802,3.2507658,-19.504012,87.3556886,-37.4683312,7.0743848,101.683736,34.2589566,40.0652504,31.035704,1.9742138,-15.8274296,28.3902044,2.7670932,7.4346478,28.3902044,-2.7670932,-7.4346478
33,85.2962635,-51.20587495,20.9922396,105.97984895,42.3447365,57.34618835,32.434523,3.2142745,-19.3479241,88.7728259,-37.76658655,7.85023275,104.0314128,33.74183285,41.0733577,31.443589,1.96344515,-15.76774045,28.05196105,2.6702701,7.63397245,28.05196105,-2.6702701,-7.63397245
34,87.1855083,-51.8805435,22.4562305,108.4859692,41.3076704,58.6927709,32.9691128,3.1677336,-19.1483993,90.1121884,-38.0324651,8.6113677,106.335796,33.1531525,42.0132011,31.839975,1.9414104,-15.6454841,27.6375445,2.5869101,7.8873004,27.6375445,-2.5869101,-7.8873004
35,88.98124275,-52.6089595,23.90398225,110.8844565,40.23671925,59.962862,33.4729815,3.1110075,-18.90454775,91.36706375,-38.28470875,9.34597375,108.5972845,32.50420225,42.91032425,32.2333025,1.91138575,-15.47866725,27.16082875,2.50857175,8.17466025,27.16082875,-2.50857175,-8.17466025
36,90.718912,-53.3870752,25.3646554,113.1801708,39.1493682,61.1792492,33.936258,3.0448854,-18.6193812,92.5344164,-38.54057,10.042739,110.8108916,31.808863,43.7864252,32.6273308,1.8767576,-15.2859292,26.6402862,2.424952,8.4766726,26.6402862,-2.424952,-8.4766726
37,92.4435757,-54.2015587,26.8744372,115.375604,38.0598127,62.35487785,34.3536817,2.97082475,-18.2988124,93.6179301,-38.81167625,10.69217385,112.96548585,31.0800436,44.65216355,33.0211197,1.84054425,-15.08398495,26.0976357,2.3261333,8.7770196,26.0976357,-2.3261333,-8.7770196
38,94.2017114,-55.0324895,28.4675621,117.4702305,36.9788942,63.4932263,34.7244032,2.8909086,-17.9515296,94.6291242,-39.1020878,11.2888454,115.0451785,30.3286125,45.5063814,33.4099104,1.8052667,-14.8868836,25.5558999,2.2051078,9.0641294,25.5558999,-2.2051078,-9.0641294
39,96.0341755,-55.85708335,30.17056945,119.4619979,35.91610195,64.59396905,35.05053835,2.8077536,-17.5886869,95.5860624,-39.40931465,11.83296505,117.0327767,29.56498595,46.34096085,33.7865959,1.77298755,-14.7062143,25.03782725,2.0589588,9.3312001,25.03782725,-2.0589588,-9.3312001
40,97.971298,-56.652962,31.999517,121.349785,34.882187,65.658958,35.335613,2.724331,-17.223169,96.510384,-39.727699,12.330798,118.913742,28.801643,47.146332,34.143269,1.745102,-14.549891,24.564888,1.888734,9.574841,24.564888,-1.888734,-9.574841
