"task","lt_hip_sagittal","lt_hip_frontal","lt_hip_transe","lt_knee_sagittal","lt_knee_frontal","lt_knee_transe","lt_ank_sagittal","lt_ank_frontal","lt_ank_transe","rt_hip_sagittal","rt_hip_frontal","rt_hip_transe","rt_knee_sagittal","rt_knee_frontal","rt_knee_transe","rt_ank_sagittal","rt_ank_frontal","rt_ank_transe","lt_plv_sagittal","lt_plv_frontal","lt_plv_transe","rt_plv_sagittal","rt_plv_frontal","rt_plv_transe"
0,10.922218,-14.24176,5.832096,0.119794,14.539267,-15.601518,7.001716,2.813532,-17.613947,16.1187,-14.959999,-5.033432,7.43835,15.248616,-11.768787,7.480592,0.971062,-10.128051,15.246654,2.621238,4.399277,15.246654,-2.621238,-4.399277
1,13.23097225,-15.29474975,5.57260572,2.30329384,16.74764196,-14.07573176,7.96025249,3.00013436,-18.42579451,18.54327816,-15.90560475,-5.09789558,10.02645013,16.67385024,-10.56662162,8.32438381,1.03221625,-10.48267795,15.90642902,2.75404951,4.48204428,15.90642902,-2.75404951,-4.48204428
2,15.66654878,-16.4286442,5.26307342,4.6752013,19.07513322,-12.39222602,8.96824212,3.17982342,-19.20027602,21.13963474,-16.94765734,-5.123696,12.85143292,18.2148601,-9.17492936,9.2329471,1.10282296,-10.89110192,16.60583106,2.90041654,4.57101546,16.60583106,-2.90041654,-4.57101546
3,18.20699897,-17.63469784,4.91435232,7.23918299,21.47922172,-10.55175295,10.01362067,3.34902005,-19.92272471,23.88306668,-18.06766525,-5.0933326,15.88826258,19.8412822,-7.60036903,10.19140453,1.18214238,-11.34856467,17.33786284,3.0576143,4.66495596,17.33786284,-3.0576143,-4.66495596
4,20.8263796,-18.9009982,4.54514896,9.9912118,23.913923,-8.56303176,11.08400544,3.50564832,-20.58558248,26.74183824,-19.24130612,-4.99404352,19.10181476,21.517123,-5.86296896,11.18293344,1.26848836,-11.8448786,18.09327344,3.22161316,4.76224836,18.09327344,-3.22161316,-4.76224836
5,23.50104495,-20.2162894,4.1782097,12.92923555,26.3358548,-6.4330272,12.1691614,3.6485095,-21.1850439,29.6874615,-20.44461225,-4.81608255,22.46242455,23.20671935,-3.98357415,12.19306575,1.35969655,-12.36714215,18.86251665,3.3882269,4.8616015,18.86251665,-3.3882269,-4.8616015
6,26.20656988,-21.5674649,3.83781408,16.04223418,28.70664796,-4.17464488,13.26046594,3.77780126,-21.72334106,32.69049822,-21.6530664,-4.55757592,25.93923372,24.8738092,-1.98902474,13.20946358,1.45314068,-12.90003584,19.63498916,3.55336538,4.96228354,19.63498916,-3.55336538,-4.96228354
7,28.92122905,-22.94243659,3.54736495,19.3211557,30.99292839,-1.798751,14.35196826,3.89388767,-22.20313735,35.72574608,-22.8438971,-4.22005216,29.50890892,26.48222128,0.0978982600000001,14.22336938,1.54634174,-13.42924511,20.39997625,3.71352905,5.06446272,20.39997625,-3.71352905,-5.06446272
8,31.625279,-24.32937668,3.32506328,22.75169884,33.17029596,0.680297160000001,15.44020256,3.99749488,-22.62855576,38.7700662,-23.99723648,-3.81116308,33.14997164,27.9990892,2.2547996,15.22951616,1.63726688,-13.94326984,21.14699928,3.86627968,5.16917204,21.14699928,-3.86627968,-5.16917204
9,34.30123853,-25.71808242,3.18547591,26.32323571,35.21827578,3.25070312,16.52377784,4.08878462,-23.0011641,41.80352036,-25.09583512,-3.33935732,36.84590215,29.39324657,4.46397774,16.22561903,1.72448644,-14.43416745,21.86564191,4.01019055,5.27817144,21.86564191,-4.01019055,-5.27817144
